,collected_at,sensor_name,last_update,trigger,annotation
1892178,2022-07-18 08:00:11.355259+10:00,m4,2022-07-15 18:34:27+10:00,,n
1892174,2022-07-18 08:00:11.298229+10:00,m8,2022-07-15 18:34:29+10:00,,n
1892172,2022-07-18 08:00:11.295640+10:00,m6,2022-07-17 18:52:03+10:00,,n
1892176,2022-07-18 08:00:11.331085+10:00,m7,2022-07-17 18:52:15+10:00,,n
1892173,2022-07-18 08:00:11.296134+10:00,m1,2022-07-17 18:52:18+10:00,,n
1892171,2022-07-18 08:00:11.294955+10:00,m2,2022-07-17 18:52:20+10:00,,n
1892177,2022-07-18 08:00:11.337293+10:00,m3,2022-07-18 00:42:59+10:00,,n
1892170,2022-07-18 08:00:10.883057+10:00,hue0,2022-07-18 00:43:12+10:00,False,n
1892175,2022-07-18 08:00:11.321261+10:00,m5,2022-07-18 00:43:17+10:00,,n
1929224,2022-07-18 10:17:39.628728+10:00,m5,2022-07-18 10:04:58+10:00,,n
1925851,2022-07-18 10:05:10.852377+10:00,hue0,2022-07-18 10:05:04+10:00,True,n
1929343,2022-07-18 10:18:07.570571+10:00,hue0,2022-07-18 10:05:14+10:00,False,n
1933535,2022-07-18 10:33:38.536072+10:00,m5,2022-07-18 10:24:05+10:00,,n
1930981,2022-07-18 10:24:11.905018+10:00,hue0,2022-07-18 10:24:11+10:00,True,n
1940386,2022-07-18 10:59:03.991377+10:00,hue0,2022-07-18 10:24:21+10:00,False,n
1941708,2022-07-18 11:03:56.372377+10:00,m5,2022-07-18 10:38:13+10:00,,4r
1943141,2022-07-18 11:09:16.708921+10:00,m8,2022-07-18 10:38:17+10:00,,4r
1934884,2022-07-18 10:38:38.837597+10:00,m4,2022-07-18 10:38:18+10:00,,4r
1934972,2022-07-18 10:38:58.864675+10:00,m4,2022-07-18 10:38:38+10:00,,4r
1935047,2022-07-18 10:39:14.874446+10:00,m4,2022-07-18 10:38:59+10:00,,4r
1935178,2022-07-18 10:39:44.900925+10:00,m4,2022-07-18 10:39:19+10:00,,4r
1935262,2022-07-18 10:40:02.921139+10:00,m4,2022-07-18 10:39:44+10:00,,4r
1935510,2022-07-18 10:40:58.970768+10:00,m4,2022-07-18 10:40:15+10:00,,4r
1935619,2022-07-18 10:41:23.005289+10:00,m4,2022-07-18 10:41:00+10:00,,4r
1936537,2022-07-18 10:44:47.209112+10:00,m4,2022-07-18 10:41:39+10:00,,4r
1937258,2022-07-18 10:47:27.377740+10:00,m4,2022-07-18 10:46:24+10:00,,4r
1937556,2022-07-18 10:48:33.453779+10:00,m4,2022-07-18 10:48:14+10:00,,4r
1937683,2022-07-18 10:49:01.469477+10:00,m4,2022-07-18 10:48:42+10:00,,4r
1937817,2022-07-18 10:49:31.499036+10:00,m4,2022-07-18 10:49:02+10:00,,4r
1937997,2022-07-18 10:50:11.544805+10:00,m4,2022-07-18 10:49:49+10:00,,4r
1938104,2022-07-18 10:50:35.566223+10:00,m4,2022-07-18 10:50:11+10:00,,4r
1938178,2022-07-18 10:50:51.583395+10:00,m4,2022-07-18 10:50:35+10:00,,4r
1938296,2022-07-18 10:51:17.619384+10:00,m4,2022-07-18 10:50:55+10:00,,4r
1938404,2022-07-18 10:51:41.649014+10:00,m4,2022-07-18 10:51:17+10:00,,4r
1938546,2022-07-18 10:52:13.676645+10:00,m4,2022-07-18 10:51:50+10:00,,4r
1938719,2022-07-18 10:52:51.726567+10:00,m4,2022-07-18 10:52:22+10:00,,4r
1938852,2022-07-18 10:53:21.747431+10:00,m4,2022-07-18 10:52:51+10:00,,4r
1938988,2022-07-18 10:53:51.782250+10:00,m4,2022-07-18 10:53:24+10:00,,4r
1939139,2022-07-18 10:54:25.816581+10:00,m4,2022-07-18 10:53:51+10:00,,4r
1939500,2022-07-18 10:55:45.895741+10:00,m4,2022-07-18 10:54:48+10:00,,4r
1939725,2022-07-18 10:56:35.945527+10:00,m4,2022-07-18 10:56:08+10:00,,4r
1939949,2022-07-18 10:57:25.984381+10:00,m4,2022-07-18 10:56:51+10:00,,4r
1940644,2022-07-18 11:00:00.127369+10:00,m4,2022-07-18 10:57:46+10:00,,4r
1941132,2022-07-18 11:01:48.306798+10:00,m4,2022-07-18 11:01:13+10:00,,4r
1941492,2022-07-18 11:03:08.419513+10:00,m4,2022-07-18 11:01:48+10:00,,4r
1941694,2022-07-18 11:03:54.364266+10:00,m4,2022-07-18 11:03:39+10:00,,4r
1941852,2022-07-18 11:04:28.424918+10:00,m4,2022-07-18 11:04:03+10:00,,4r
1942005,2022-07-18 11:05:02.467255+10:00,m4,2022-07-18 11:04:29+10:00,,4r
1942191,2022-07-18 11:05:44.488211+10:00,m4,2022-07-18 11:05:24+10:00,,4r
1942299,2022-07-18 11:06:08.514139+10:00,m4,2022-07-18 11:05:44+10:00,,4r
1942490,2022-07-18 11:06:50.557463+10:00,m4,2022-07-18 11:06:10+10:00,,4r
1942569,2022-07-18 11:07:08.573835+10:00,m4,2022-07-18 11:06:50+10:00,,4r
1942642,2022-07-18 11:07:24.599540+10:00,m4,2022-07-18 11:07:10+10:00,,4r
1942804,2022-07-18 11:08:00.628631+10:00,m4,2022-07-18 11:07:31+10:00,,4r
1942956,2022-07-18 11:08:34.666741+10:00,m4,2022-07-18 11:08:00+10:00,,4r
1943081,2022-07-18 11:09:02.696098+10:00,m4,2022-07-18 11:08:35+10:00,,4r
1943261,2022-07-18 11:09:42.747256+10:00,m4,2022-07-18 11:09:20+10:00,,4r
1943335,2022-07-18 11:09:58.749343+10:00,m4,2022-07-18 11:09:42+10:00,,4r
1943543,2022-07-18 11:10:44.790384+10:00,m4,2022-07-18 11:10:05+10:00,,4r
1943739,2022-07-18 11:11:28.824938+10:00,m4,2022-07-18 11:11:13+10:00,,4r
1943873,2022-07-18 11:11:58.856132+10:00,m4,2022-07-18 11:11:36+10:00,,4r
1943999,2022-07-18 11:12:26.874388+10:00,m4,2022-07-18 11:11:58+10:00,,4r
1944093,2022-07-18 11:12:46.928343+10:00,m4,2022-07-18 11:12:26+10:00,,4r
1944525,2022-07-18 11:14:22.983514+10:00,m4,2022-07-18 11:12:47+10:00,,4r
1944836,2022-07-18 11:15:33.035203+10:00,m4,2022-07-18 11:14:59+10:00,,4r
1945044,2022-07-18 11:16:19.074688+10:00,m4,2022-07-18 11:15:55+10:00,,4r
1945129,2022-07-18 11:16:39.009628+10:00,hue0,2022-07-18 11:16:32+10:00,True,n
1945343,2022-07-18 11:17:25.133601+10:00,m5,2022-07-18 11:16:35+10:00,,n
1945214,2022-07-18 11:16:57.107596+10:00,m4,2022-07-18 11:16:37+10:00,,4r
1945354,2022-07-18 11:17:29.072016+10:00,hue0,2022-07-18 11:16:42+10:00,False,n
1945386,2022-07-18 11:17:35.140625+10:00,m4,2022-07-18 11:17:10+10:00,,4r
1945487,2022-07-18 11:17:57.175958+10:00,m4,2022-07-18 11:17:35+10:00,,4r
1945623,2022-07-18 11:18:27.192339+10:00,m5,2022-07-18 11:18:02+10:00,,n
1945570,2022-07-18 11:18:17.096271+10:00,hue0,2022-07-18 11:18:07+10:00,True,n
1945661,2022-07-18 11:18:37.196699+10:00,m4,2022-07-18 11:18:12+10:00,,4r
1945759,2022-07-18 11:18:59.136730+10:00,hue0,2022-07-18 11:18:17+10:00,False,n
1945719,2022-07-18 11:18:49.226094+10:00,m4,2022-07-18 11:18:38+10:00,,4r
1945828,2022-07-18 11:19:13.229565+10:00,m5,2022-07-18 11:18:40+10:00,,n
1945853,2022-07-18 11:19:19.234039+10:00,m4,2022-07-18 11:18:58+10:00,,4r
1945974,2022-07-18 11:19:45.286991+10:00,m4,2022-07-18 11:19:19+10:00,,4r
1946873,2022-07-18 11:23:05.470957+10:00,m5,2022-07-18 11:19:28+10:00,,n
1945948,2022-07-18 11:19:41.172878+10:00,hue0,2022-07-18 11:19:33+10:00,True,n
1946803,2022-07-18 11:22:51.368484+10:00,hue0,2022-07-18 11:19:42+10:00,False,n
1946207,2022-07-18 11:20:37.320843+10:00,m4,2022-07-18 11:20:01+10:00,,4r
1946807,2022-07-18 11:22:51.449232+10:00,m4,2022-07-18 11:21:01+10:00,,4r
1947140,2022-07-18 11:24:05.536848+10:00,m4,2022-07-18 11:23:48+10:00,,4r
1947258,2022-07-18 11:24:31.566943+10:00,m4,2022-07-18 11:24:12+10:00,,4r
1947328,2022-07-18 11:24:47.585107+10:00,m4,2022-07-18 11:24:32+10:00,,4r
