,collected_at,sensor_name,last_update,trigger,annotation
1669747,2022-07-15 08:00:04.283610+10:00,m4,2022-07-14 19:20:04+10:00,,n
1669742,2022-07-15 08:00:04.249121+10:00,m8,2022-07-14 19:20:11+10:00,,n
1669746,2022-07-15 08:00:04.283022+10:00,m3,2022-07-14 19:20:14+10:00,,n
1669745,2022-07-15 08:00:04.279466+10:00,m7,2022-07-14 21:04:03+10:00,,n
1669744,2022-07-15 08:00:04.274561+10:00,m6,2022-07-14 21:04:15+10:00,,n
1669741,2022-07-15 08:00:04.243858+10:00,m1,2022-07-14 21:04:17+10:00,,n
1669743,2022-07-15 08:00:04.259375+10:00,m2,2022-07-14 21:04:18+10:00,,n
1669748,2022-07-15 08:00:04.326887+10:00,m5,2022-07-14 21:04:25+10:00,,n
1669740,2022-07-15 08:00:03.824319+10:00,hue0,2022-07-14 21:04:33+10:00,False,n
1702307,2022-07-15 10:00:49.262614+10:00,m5,2022-07-15 09:53:02+10:00,,n
1700241,2022-07-15 09:53:10.577698+10:00,hue0,2022-07-15 09:53:08+10:00,True,n
1702275,2022-07-15 10:00:43.176810+10:00,hue0,2022-07-15 09:53:18+10:00,False,n
1703328,2022-07-15 10:04:37.478408+10:00,hue0,2022-07-15 10:04:31+10:00,True,n
1709004,2022-07-15 10:25:39.118986+10:00,m5,2022-07-15 10:04:32+10:00,,n
1713597,2022-07-15 10:42:42.302547+10:00,hue0,2022-07-15 10:04:41+10:00,False,n
1715439,2022-07-15 10:49:30.908708+10:00,m5,2022-07-15 10:36:06+10:00,,n
1718213,2022-07-15 10:59:47.731773+10:00,m5,2022-07-15 10:56:25+10:00,,n
1718655,2022-07-15 11:01:27.737104+10:00,hue0,2022-07-15 11:01:21+10:00,True,n
1721523,2022-07-15 11:12:04.611049+10:00,m5,2022-07-15 11:01:22+10:00,,n
1724559,2022-07-15 11:23:21.401611+10:00,hue0,2022-07-15 11:01:30+10:00,False,n
1725988,2022-07-15 11:28:37.894498+10:00,m5,2022-07-15 11:17:01+10:00,,n
1729262,2022-07-15 11:40:46.843896+10:00,m8,2022-07-15 11:23:10+10:00,,4r
