,collected_at,sensor_name,last_update,trigger,annotation
321423,2022-07-08 08:00:05.123660+10:00,m4,2022-07-07 17:06:03+10:00,,n
321417,2022-07-08 08:00:04.921018+10:00,m8,2022-07-07 19:10:25+10:00,,n
321415,2022-07-08 08:00:04.502188+10:00,hue0,2022-07-07 20:08:37+10:00,False,n
321418,2022-07-08 08:00:04.929547+10:00,m3,2022-07-08 00:05:34+10:00,,n
321422,2022-07-08 08:00:04.968577+10:00,m7,2022-07-08 00:48:43+10:00,,n
321416,2022-07-08 08:00:04.912872+10:00,m1,2022-07-08 00:48:47+10:00,,n
321419,2022-07-08 08:00:04.930150+10:00,m2,2022-07-08 00:48:52+10:00,,n
321421,2022-07-08 08:00:04.951920+10:00,m6,2022-07-08 00:48:53+10:00,,n
321420,2022-07-08 08:00:04.940119+10:00,m5,2022-07-08 00:49:06+10:00,,n
372465,2022-07-08 11:09:22.442108+10:00,m2,2022-07-08 09:18:17+10:00,,n
347413,2022-07-08 09:36:27.756967+10:00,m3,2022-07-08 09:35:57+10:00,,n
347358,2022-07-08 09:36:15.739692+10:00,m5,2022-07-08 09:35:58+10:00,,n
351931,2022-07-08 09:53:12.950460+10:00,m3,2022-07-08 09:36:28+10:00,,n
348486,2022-07-08 09:40:26.065337+10:00,m5,2022-07-08 09:36:29+10:00,,n
352500,2022-07-08 09:55:19.138075+10:00,m5,2022-07-08 09:42:34+10:00,,n
356448,2022-07-08 10:09:58.139613+10:00,m3,2022-07-08 10:01:48+10:00,,n
354459,2022-07-08 10:02:35.617011+10:00,m5,2022-07-08 10:01:49+10:00,,n
356565,2022-07-08 10:10:24.164894+10:00,m5,2022-07-08 10:03:05+10:00,,n
361648,2022-07-08 10:29:15.468663+10:00,m5,2022-07-08 10:13:58+10:00,,n
364503,2022-07-08 10:39:50.286109+10:00,m8,2022-07-08 10:13:59+10:00,,n
361614,2022-07-08 10:29:07.475527+10:00,m3,2022-07-08 10:14:08+10:00,,n
366453,2022-07-08 10:47:04.800011+10:00,m5,2022-07-08 10:36:49+10:00,,n
366403,2022-07-08 10:46:52.788696+10:00,m3,2022-07-08 10:36:49+10:00,,n
367923,2022-07-08 10:52:31.212454+10:00,m5,2022-07-08 10:51:51+10:00,,n
367921,2022-07-08 10:52:31.207603+10:00,m3,2022-07-08 10:51:51+10:00,,n
372210,2022-07-08 11:08:24.408144+10:00,m8,2022-07-08 10:52:57+10:00,,n
368443,2022-07-08 10:54:27.355971+10:00,m5,2022-07-08 10:52:58+10:00,,n
368493,2022-07-08 10:54:37.404090+10:00,m3,2022-07-08 10:53:00+10:00,,n
466367,2022-07-08 16:57:31.885957+10:00,m4,2022-07-08 10:53:02+10:00,,n
369074,2022-07-08 10:56:47.535713+10:00,m3,2022-07-08 10:55:11+10:00,,n
368958,2022-07-08 10:56:21.499500+10:00,m5,2022-07-08 10:55:11+10:00,,n
369182,2022-07-08 10:57:11.559960+10:00,m5,2022-07-08 10:56:49+10:00,,n
369858,2022-07-08 10:59:41.758398+10:00,m3,2022-07-08 10:57:21+10:00,,n
369966,2022-07-08 11:00:05.781583+10:00,m5,2022-07-08 10:57:21+10:00,,n
372657,2022-07-08 11:10:04.506387+10:00,m5,2022-07-08 11:01:01+10:00,,n
372676,2022-07-08 11:10:08.514037+10:00,m3,2022-07-08 11:01:04+10:00,,n
373971,2022-07-08 11:14:56.886694+10:00,m3,2022-07-08 11:14:17+10:00,,n
374006,2022-07-08 11:15:04.885527+10:00,m5,2022-07-08 11:14:17+10:00,,n
374242,2022-07-08 11:15:56.956611+10:00,m3,2022-07-08 11:15:22+10:00,,n
374187,2022-07-08 11:15:44.938578+10:00,m5,2022-07-08 11:15:23+10:00,,n
375096,2022-07-08 11:19:07.177746+10:00,m5,2022-07-08 11:16:01+10:00,,n
375655,2022-07-08 11:21:11.335103+10:00,m3,2022-07-08 11:16:16+10:00,,n
384768,2022-07-08 11:54:59.843995+10:00,m8,2022-07-08 11:16:17+10:00,,n
376013,2022-07-08 11:22:31.423131+10:00,m5,2022-07-08 11:20:48+10:00,,n
377058,2022-07-08 11:26:23.722324+10:00,m3,2022-07-08 11:23:23+10:00,,n
376329,2022-07-08 11:23:41.521902+10:00,m5,2022-07-08 11:23:24+10:00,,n
377076,2022-07-08 11:26:27.728659+10:00,m5,2022-07-08 11:23:50+10:00,,n
377624,2022-07-08 11:28:29.893910+10:00,m5,2022-07-08 11:27:52+10:00,,n
377626,2022-07-08 11:28:29.900025+10:00,m3,2022-07-08 11:27:53+10:00,,n
378132,2022-07-08 11:30:22.047429+10:00,m5,2022-07-08 11:28:54+10:00,,n
378327,2022-07-08 11:31:06.078877+10:00,m3,2022-07-08 11:28:54+10:00,,n
378470,2022-07-08 11:31:38.111236+10:00,m5,2022-07-08 11:30:56+10:00,,n
378705,2022-07-08 11:32:30.179754+10:00,m3,2022-07-08 11:31:53+10:00,,n
378739,2022-07-08 11:32:38.181417+10:00,m5,2022-07-08 11:31:54+10:00,,n
378902,2022-07-08 11:33:14.229163+10:00,m3,2022-07-08 11:32:52+10:00,,n
378939,2022-07-08 11:33:22.241842+10:00,m5,2022-07-08 11:32:53+10:00,,n
380559,2022-07-08 11:39:22.693838+10:00,m5,2022-07-08 11:33:23+10:00,,n
380568,2022-07-08 11:39:24.692155+10:00,m3,2022-07-08 11:33:30+10:00,,n
383062,2022-07-08 11:48:39.360957+10:00,m3,2022-07-08 11:42:10+10:00,,n
382071,2022-07-08 11:44:59.091757+10:00,m5,2022-07-08 11:42:11+10:00,,n
383348,2022-07-08 11:49:43.446479+10:00,m5,2022-07-08 11:45:58+10:00,,n
384412,2022-07-08 11:53:39.749333+10:00,m5,2022-07-08 11:51:44+10:00,,n
384411,2022-07-08 11:53:39.748612+10:00,m3,2022-07-08 11:51:46+10:00,,n
388218,2022-07-08 12:07:46.787147+10:00,m3,2022-07-08 11:54:39+10:00,,n
384932,2022-07-08 11:55:35.893954+10:00,m5,2022-07-08 11:54:39+10:00,,n
385491,2022-07-08 11:57:40.051038+10:00,m5,2022-07-08 11:56:19+10:00,,n
