,collected_at,sensor_name,last_update,trigger,annotation
1281433,2022-07-13 08:00:09.917524+10:00,m4,2022-07-12 15:56:16+10:00,,n
1281428,2022-07-13 08:00:09.887892+10:00,m8,2022-07-12 15:56:31+10:00,,n
1281431,2022-07-13 08:00:09.901241+10:00,m6,2022-07-12 18:45:46+10:00,,n
1281435,2022-07-13 08:00:09.978207+10:00,m7,2022-07-12 18:45:49+10:00,,n
1281427,2022-07-13 08:00:09.480186+10:00,hue0,2022-07-12 18:46:10+10:00,False,n
1281430,2022-07-13 08:00:09.891628+10:00,m2,2022-07-12 20:09:28+10:00,,n
1281429,2022-07-13 08:00:09.888556+10:00,m1,2022-07-12 20:09:28+10:00,,n
1281432,2022-07-13 08:00:09.904713+10:00,m3,2022-07-12 20:10:27+10:00,,n
1281434,2022-07-13 08:00:09.932188+10:00,m5,2022-07-12 20:10:29+10:00,,n
1318773,2022-07-13 10:18:36.971323+10:00,m5,2022-07-13 10:18:15+10:00,,n
1319907,2022-07-13 10:22:49.229225+10:00,m3,2022-07-13 10:18:17+10:00,,n
1327950,2022-07-13 10:52:39.164455+10:00,m2,2022-07-13 10:18:22+10:00,,n
1318732,2022-07-13 10:18:28.876853+10:00,hue0,2022-07-13 10:18:22+10:00,True,n
1327949,2022-07-13 10:52:39.163699+10:00,m1,2022-07-13 10:18:23+10:00,,n
1318750,2022-07-13 10:18:32.880026+10:00,hue0,2022-07-13 10:18:32+10:00,False,n
1319960,2022-07-13 10:23:01.238250+10:00,m5,2022-07-13 10:18:47+10:00,,n
1318849,2022-07-13 10:18:54.906012+10:00,hue0,2022-07-13 10:18:48+10:00,True,n
1327858,2022-07-13 10:52:19.067069+10:00,hue0,2022-07-13 10:18:58+10:00,False,n
1328520,2022-07-13 10:54:45.345547+10:00,m5,2022-07-13 10:25:16+10:00,,n
1328583,2022-07-13 10:54:59.349373+10:00,m3,2022-07-13 10:25:18+10:00,,n
1332648,2022-07-13 11:10:04.315738+10:00,m5,2022-07-13 11:09:29+10:00,,2r
1332678,2022-07-13 11:10:10.314435+10:00,m3,2022-07-13 11:09:31+10:00,,2r
1332638,2022-07-13 11:10:02.297036+10:00,m2,2022-07-13 11:09:35+10:00,,2r
1332556,2022-07-13 11:09:44.195231+10:00,hue0,2022-07-13 11:09:36+10:00,True,2r
1332641,2022-07-13 11:10:02.305759+10:00,m1,2022-07-13 11:09:36+10:00,,2r
1332625,2022-07-13 11:09:58.305426+10:00,m6,2022-07-13 11:09:37+10:00,,2r
1332635,2022-07-13 11:10:00.318716+10:00,m7,2022-07-13 11:09:40+10:00,,2r
1332736,2022-07-13 11:10:24.239832+10:00,hue0,2022-07-13 11:09:46+10:00,False,2r
1333353,2022-07-13 11:12:40.484750+10:00,m6,2022-07-13 11:10:05+10:00,,2r
1333373,2022-07-13 11:12:44.505086+10:00,m7,2022-07-13 11:10:09+10:00,,2r
1333482,2022-07-13 11:13:08.542924+10:00,m1,2022-07-13 11:10:16+10:00,,2r
1333448,2022-07-13 11:13:02.500175+10:00,m2,2022-07-13 11:10:18+10:00,,2r
1333326,2022-07-13 11:12:34.476715+10:00,m3,2022-07-13 11:10:22+10:00,,2r
1333091,2022-07-13 11:11:42.420189+10:00,m5,2022-07-13 11:10:24+10:00,,2r
1332781,2022-07-13 11:10:34.251713+10:00,hue0,2022-07-13 11:10:25+10:00,True,2r
1333447,2022-07-13 11:13:02.424667+10:00,hue0,2022-07-13 11:10:35+10:00,False,2r
1333522,2022-07-13 11:13:18.524119+10:00,m5,2022-07-13 11:12:08+10:00,,4r
1333666,2022-07-13 11:13:50.562155+10:00,m8,2022-07-13 11:12:08+10:00,,4r
1333344,2022-07-13 11:12:38.494178+10:00,m4,2022-07-13 11:12:12+10:00,,4r
1333445,2022-07-13 11:13:00.517823+10:00,m4,2022-07-13 11:12:36+10:00,,4r
1333545,2022-07-13 11:13:22.573049+10:00,m4,2022-07-13 11:12:57+10:00,,4r
1333705,2022-07-13 11:13:58.583111+10:00,m4,2022-07-13 11:13:35+10:00,,4r
1335926,2022-07-13 11:22:13.141620+10:00,m5,2022-07-13 11:13:38+10:00,,2r
1333756,2022-07-13 11:14:10.585282+10:00,m3,2022-07-13 11:13:40+10:00,,2r
1333794,2022-07-13 11:14:18.613035+10:00,m4,2022-07-13 11:13:55+10:00,,4r
1333735,2022-07-13 11:14:06.493831+10:00,hue0,2022-07-13 11:13:58+10:00,True,2r
1336140,2022-07-13 11:23:01.192058+10:00,m2,2022-07-13 11:13:58+10:00,,2r
1340252,2022-07-13 11:38:16.242255+10:00,m1,2022-07-13 11:13:59+10:00,,2r
1333785,2022-07-13 11:14:16.602875+10:00,m6,2022-07-13 11:13:59+10:00,,2r
1333822,2022-07-13 11:14:24.613523+10:00,m7,2022-07-13 11:14:04+10:00,,2r
1335967,2022-07-13 11:22:23.070313+10:00,hue0,2022-07-13 11:14:08+10:00,False,2r
1333887,2022-07-13 11:14:38.633734+10:00,m4,2022-07-13 11:14:15+10:00,,4r
1346617,2022-07-13 12:01:51.840986+10:00,m8,2022-07-13 11:14:21+10:00,,4r
1336159,2022-07-13 11:23:05.216538+10:00,m6,2022-07-13 11:14:21+10:00,,2r
1334049,2022-07-13 11:15:14.677164+10:00,m7,2022-07-13 11:14:25+10:00,,2r
1344909,2022-07-13 11:55:31.426038+10:00,m3,2022-07-13 11:14:29+10:00,,4r
1334021,2022-07-13 11:15:08.671279+10:00,m4,2022-07-13 11:14:48+10:00,,4r
1334137,2022-07-13 11:15:34.695813+10:00,m4,2022-07-13 11:15:09+10:00,,4r
1334200,2022-07-13 11:15:48.710565+10:00,m4,2022-07-13 11:15:33+10:00,,4r
1334317,2022-07-13 11:16:14.743023+10:00,m4,2022-07-13 11:15:54+10:00,,4r
1334318,2022-07-13 11:16:14.745814+10:00,m7,2022-07-13 11:15:58+10:00,,2r
1334418,2022-07-13 11:16:36.773963+10:00,m4,2022-07-13 11:16:14+10:00,,4r
1334723,2022-07-13 11:17:44.859563+10:00,m7,2022-07-13 11:16:22+10:00,,2r
1334481,2022-07-13 11:16:50.790242+10:00,m4,2022-07-13 11:16:35+10:00,,4r
1334597,2022-07-13 11:17:16.819518+10:00,m4,2022-07-13 11:16:55+10:00,,4r
1334686,2022-07-13 11:17:36.846791+10:00,m4,2022-07-13 11:17:15+10:00,,4r
1334805,2022-07-13 11:18:02.902314+10:00,m4,2022-07-13 11:17:45+10:00,,4r
1335038,2022-07-13 11:18:54.932114+10:00,m4,2022-07-13 11:18:08+10:00,,4r
1334922,2022-07-13 11:18:28.903006+10:00,m7,2022-07-13 11:18:15+10:00,,2r
1335047,2022-07-13 11:18:56.931192+10:00,m7,2022-07-13 11:18:35+10:00,,2r
1335128,2022-07-13 11:19:14.950022+10:00,m7,2022-07-13 11:18:56+10:00,,2r
1335244,2022-07-13 11:19:40.986604+10:00,m4,2022-07-13 11:19:24+10:00,,4r
1335272,2022-07-13 11:19:47.001542+10:00,m7,2022-07-13 11:19:28+10:00,,2r
1335363,2022-07-13 11:20:07.038199+10:00,m4,2022-07-13 11:19:45+10:00,,4r
1335425,2022-07-13 11:20:21.027385+10:00,m7,2022-07-13 11:19:48+10:00,,2r
1335479,2022-07-13 11:20:33.051614+10:00,m4,2022-07-13 11:20:05+10:00,,4r
1335587,2022-07-13 11:20:57.075413+10:00,m7,2022-07-13 11:20:41+10:00,,2r
1335615,2022-07-13 11:21:03.095194+10:00,m4,2022-07-13 11:20:47+10:00,,4r
1335857,2022-07-13 11:21:57.146780+10:00,m7,2022-07-13 11:21:05+10:00,,2r
1335839,2022-07-13 11:21:53.147893+10:00,m4,2022-07-13 11:21:08+10:00,,4r
