,collected_at,sensor_name,last_update,trigger,annotation
2280504,2022-07-20 08:00:07.984920+10:00,m4,2022-07-19 18:23:36+10:00,,n
2280497,2022-07-20 08:00:07.944029+10:00,m8,2022-07-19 18:23:46+10:00,,n
2280503,2022-07-20 08:00:07.967710+10:00,m6,2022-07-19 20:51:38+10:00,,n
2280498,2022-07-20 08:00:07.954771+10:00,m7,2022-07-19 20:51:45+10:00,,n
2280501,2022-07-20 08:00:07.966441+10:00,m1,2022-07-19 20:51:46+10:00,,n
2280502,2022-07-20 08:00:07.967132+10:00,m2,2022-07-19 20:51:48+10:00,,n
2280499,2022-07-20 08:00:07.962482+10:00,m3,2022-07-19 20:51:58+10:00,,n
2280496,2022-07-20 08:00:07.511692+10:00,hue0,2022-07-19 23:22:20+10:00,False,n
2280500,2022-07-20 08:00:07.964542+10:00,m5,2022-07-20 00:08:58+10:00,,n
2316315,2022-07-20 10:12:55.224732+10:00,m5,2022-07-20 10:03:20+10:00,,n
2313787,2022-07-20 10:03:34.454521+10:00,hue0,2022-07-20 10:03:25+10:00,True,n
2316352,2022-07-20 10:13:05.125087+10:00,hue0,2022-07-20 10:03:35+10:00,False,n
2321198,2022-07-20 10:31:02.522245+10:00,m5,2022-07-20 10:17:23+10:00,,n
2317576,2022-07-20 10:17:37.464831+10:00,hue0,2022-07-20 10:17:30+10:00,True,n
2319214,2022-07-20 10:23:41.895831+10:00,hue0,2022-07-20 10:17:40+10:00,False,n
2320006,2022-07-20 10:26:38.115256+10:00,hue0,2022-07-20 10:26:28+10:00,True,n
2320186,2022-07-20 10:27:18.160389+10:00,hue0,2022-07-20 10:26:38+10:00,False,n
2320276,2022-07-20 10:27:38.182677+10:00,hue0,2022-07-20 10:27:20+10:00,True,n
2320321,2022-07-20 10:27:48.196619+10:00,hue0,2022-07-20 10:27:38+10:00,False,n
2320483,2022-07-20 10:28:24.239040+10:00,hue0,2022-07-20 10:27:49+10:00,True,n
2326509,2022-07-20 10:50:43.845223+10:00,m3,2022-07-20 10:28:38+10:00,,n
2320618,2022-07-20 10:28:54.277187+10:00,hue0,2022-07-20 10:28:53+10:00,False,n
2320654,2022-07-20 10:29:02.285116+10:00,hue0,2022-07-20 10:28:55+10:00,True,n
2320834,2022-07-20 10:29:42.332707+10:00,hue0,2022-07-20 10:29:05+10:00,False,n
2321005,2022-07-20 10:30:20.376381+10:00,hue0,2022-07-20 10:30:11+10:00,True,n
2322409,2022-07-20 10:35:32.734654+10:00,hue0,2022-07-20 10:30:21+10:00,False,n
2323254,2022-07-20 10:38:39.042915+10:00,m5,2022-07-20 10:37:55+10:00,,4r
2323240,2022-07-20 10:38:37.020536+10:00,m8,2022-07-20 10:37:58+10:00,,4r
2323170,2022-07-20 10:38:21.016079+10:00,m4,2022-07-20 10:37:59+10:00,,4r
2323075,2022-07-20 10:38:00.897138+10:00,hue0,2022-07-20 10:38:00+10:00,True,n
2327278,2022-07-20 10:53:35.938229+10:00,hue0,2022-07-20 10:38:10+10:00,False,n
2323245,2022-07-20 10:38:37.036628+10:00,m4,2022-07-20 10:38:20+10:00,,4r
2323343,2022-07-20 10:38:59.060664+10:00,m4,2022-07-20 10:38:40+10:00,,4r
2324104,2022-07-20 10:41:49.227187+10:00,m8,2022-07-20 10:39:00+10:00,,4r
2324107,2022-07-20 10:41:49.235296+10:00,m4,2022-07-20 10:39:00+10:00,,4r
2324100,2022-07-20 10:41:47.233437+10:00,m5,2022-07-20 10:39:05+10:00,,4r
2328418,2022-07-20 10:57:48.312784+10:00,m5,2022-07-20 10:43:12+10:00,,4r
2332644,2022-07-20 11:13:29.347675+10:00,m8,2022-07-20 10:43:15+10:00,,4r
2324573,2022-07-20 10:43:33.349366+10:00,m4,2022-07-20 10:43:16+10:00,,4r
2324703,2022-07-20 10:44:01.407084+10:00,m4,2022-07-20 10:43:39+10:00,,4r
2324773,2022-07-20 10:44:17.401118+10:00,m4,2022-07-20 10:44:00+10:00,,4r
2324871,2022-07-20 10:44:39.433277+10:00,m4,2022-07-20 10:44:25+10:00,,4r
2325034,2022-07-20 10:45:15.474882+10:00,m4,2022-07-20 10:44:45+10:00,,4r
2325117,2022-07-20 10:45:33.528273+10:00,m4,2022-07-20 10:45:15+10:00,,4r
2325251,2022-07-20 10:46:03.668409+10:00,m4,2022-07-20 10:45:41+10:00,,4r
2325315,2022-07-20 10:46:17.550388+10:00,m4,2022-07-20 10:46:02+10:00,,4r
2325438,2022-07-20 10:46:45.585877+10:00,m4,2022-07-20 10:46:22+10:00,,4r
2325644,2022-07-20 10:47:31.641391+10:00,m4,2022-07-20 10:46:54+10:00,,4r
2325774,2022-07-20 10:47:59.682422+10:00,m4,2022-07-20 10:47:31+10:00,,4r
2325996,2022-07-20 10:48:49.736842+10:00,m4,2022-07-20 10:47:58+10:00,,4r
2326402,2022-07-20 10:50:19.828870+10:00,m4,2022-07-20 10:49:26+10:00,,4r
2326789,2022-07-20 10:51:45.916205+10:00,m4,2022-07-20 10:50:38+10:00,,4r
2327006,2022-07-20 10:52:33.983185+10:00,m4,2022-07-20 10:52:08+10:00,,4r
2327165,2022-07-20 10:53:10.001256+10:00,m4,2022-07-20 10:52:48+10:00,,4r
2327303,2022-07-20 10:53:40.039543+10:00,m4,2022-07-20 10:53:09+10:00,,4r
2327679,2022-07-20 10:55:04.130553+10:00,m4,2022-07-20 10:53:58+10:00,,4r
2327906,2022-07-20 10:55:54.206130+10:00,m4,2022-07-20 10:55:27+10:00,,4r
2327967,2022-07-20 10:56:08.205979+10:00,m4,2022-07-20 10:55:53+10:00,,4r
2328573,2022-07-20 10:58:22.351131+10:00,m4,2022-07-20 10:56:14+10:00,,4r
2328770,2022-07-20 10:59:06.392264+10:00,m4,2022-07-20 10:58:20+10:00,,4r
2329076,2022-07-20 11:00:14.468909+10:00,m4,2022-07-20 10:59:20+10:00,,4r
2329228,2022-07-20 11:00:48.514350+10:00,m4,2022-07-20 11:00:32+10:00,,4r
2329308,2022-07-20 11:01:06.531751+10:00,m4,2022-07-20 11:00:53+10:00,,4r
2329434,2022-07-20 11:01:34.570295+10:00,m4,2022-07-20 11:01:13+10:00,,4r
2329456,2022-07-20 11:01:40.485900+10:00,hue0,2022-07-20 11:01:31+10:00,True,n
2330134,2022-07-20 11:04:10.759134+10:00,m3,2022-07-20 11:01:31+10:00,,n
2329562,2022-07-20 11:02:02.611747+10:00,m4,2022-07-20 11:01:40+10:00,,4r
2329690,2022-07-20 11:02:32.542056+10:00,hue0,2022-07-20 11:01:41+10:00,False,n
2329659,2022-07-20 11:02:24.652263+10:00,m4,2022-07-20 11:02:01+10:00,,4r
2329806,2022-07-20 11:02:56.702036+10:00,m4,2022-07-20 11:02:35+10:00,,4r
2329985,2022-07-20 11:03:36.718669+10:00,m4,2022-07-20 11:03:05+10:00,,4r
2329915,2022-07-20 11:03:22.629912+10:00,hue0,2022-07-20 11:03:14+10:00,True,n
2330140,2022-07-20 11:04:12.670684+10:00,hue0,2022-07-20 11:03:24+10:00,False,n
2330272,2022-07-20 11:04:40.796595+10:00,m4,2022-07-20 11:03:56+10:00,,4r
2330185,2022-07-20 11:04:22.681987+10:00,hue0,2022-07-20 11:04:14+10:00,True,n
2330293,2022-07-20 11:04:46.708767+10:00,hue0,2022-07-20 11:04:23+10:00,False,n
2330480,2022-07-20 11:05:26.843025+10:00,m4,2022-07-20 11:04:56+10:00,,4r
2332558,2022-07-20 11:13:09.338064+10:00,m3,2022-07-20 11:05:05+10:00,,n
2330419,2022-07-20 11:05:14.734757+10:00,hue0,2022-07-20 11:05:06+10:00,True,n
2330490,2022-07-20 11:05:28.859041+10:00,m5,2022-07-20 11:05:08+10:00,,n
2330491,2022-07-20 11:05:30.754108+10:00,hue0,2022-07-20 11:05:16+10:00,False,n
2330668,2022-07-20 11:06:08.888393+10:00,m5,2022-07-20 11:05:37+10:00,,n
2330658,2022-07-20 11:06:06.882818+10:00,m4,2022-07-20 11:05:41+10:00,,4r
2330581,2022-07-20 11:05:50.775947+10:00,hue0,2022-07-20 11:05:42+10:00,True,n
2330671,2022-07-20 11:06:10.795539+10:00,hue0,2022-07-20 11:05:52+10:00,False,n
2330749,2022-07-20 11:06:26.908112+10:00,m4,2022-07-20 11:06:05+10:00,,4r
2330770,2022-07-20 11:06:32.814795+10:00,hue0,2022-07-20 11:06:24+10:00,True,n
2330839,2022-07-20 11:06:46.919262+10:00,m4,2022-07-20 11:06:25+10:00,,4r
2331362,2022-07-20 11:08:43.053853+10:00,m5,2022-07-20 11:06:27+10:00,,n
2331274,2022-07-20 11:08:24.928658+10:00,hue0,2022-07-20 11:06:34+10:00,False,n
2330922,2022-07-20 11:07:04.972411+10:00,m4,2022-07-20 11:06:46+10:00,,4r
2331127,2022-07-20 11:07:50.986876+10:00,m4,2022-07-20 11:07:07+10:00,,4r
2331884,2022-07-20 11:10:39.165860+10:00,m4,2022-07-20 11:08:13+10:00,,4r
2331776,2022-07-20 11:10:15.142741+10:00,m5,2022-07-20 11:09:53+10:00,,n
2331742,2022-07-20 11:10:09.038613+10:00,hue0,2022-07-20 11:10:00+10:00,True,n
2331751,2022-07-20 11:10:11.040689+10:00,hue0,2022-07-20 11:10:10+10:00,False,n
2331805,2022-07-20 11:10:23.053390+10:00,hue0,2022-07-20 11:10:13+10:00,True,n
2332785,2022-07-20 11:13:59.424439+10:00,m5,2022-07-20 11:10:15+10:00,,n
2331814,2022-07-20 11:10:25.055616+10:00,hue0,2022-07-20 11:10:23+10:00,False,n
2331859,2022-07-20 11:10:35.065353+10:00,hue0,2022-07-20 11:10:27+10:00,True,n
2332876,2022-07-20 11:14:21.320581+10:00,hue0,2022-07-20 11:10:37+10:00,False,n
2332322,2022-07-20 11:12:17.269043+10:00,m4,2022-07-20 11:11:51+10:00,,4r
2332477,2022-07-20 11:12:51.315350+10:00,m4,2022-07-20 11:12:30+10:00,,4r
2332539,2022-07-20 11:13:05.325452+10:00,m4,2022-07-20 11:12:50+10:00,,4r
2332657,2022-07-20 11:13:31.358839+10:00,m4,2022-07-20 11:13:11+10:00,,4r
2332755,2022-07-20 11:13:53.378197+10:00,m4,2022-07-20 11:13:31+10:00,,4r
2332817,2022-07-20 11:14:07.394653+10:00,m4,2022-07-20 11:13:52+10:00,,4r
2332954,2022-07-20 11:14:37.446856+10:00,m4,2022-07-20 11:14:13+10:00,,4r
2333151,2022-07-20 11:15:21.474781+10:00,m4,2022-07-20 11:14:46+10:00,,4r
