,collected_at,sensor_name,last_update,trigger,annotation
1087268,2022-07-12 08:00:08.800623+10:00,m4,2022-07-11 11:08:30+10:00,,n
1087261,2022-07-12 08:00:08.722783+10:00,m8,2022-07-11 13:17:50+10:00,,n
1087262,2022-07-12 08:00:08.727168+10:00,m6,2022-07-11 18:13:13+10:00,,n
1087267,2022-07-12 08:00:08.788128+10:00,m7,2022-07-11 19:08:24+10:00,,n
1087264,2022-07-12 08:00:08.734333+10:00,m1,2022-07-11 19:08:36+10:00,,n
1087263,2022-07-12 08:00:08.730893+10:00,m2,2022-07-11 19:08:37+10:00,,n
1087265,2022-07-12 08:00:08.769565+10:00,m3,2022-07-11 20:20:35+10:00,,n
1087266,2022-07-12 08:00:08.772363+10:00,m5,2022-07-11 20:23:14+10:00,,n
1087260,2022-07-12 08:00:08.302354+10:00,hue0,2022-07-11 20:23:24+10:00,False,n
1125487,2022-07-12 10:21:52.609860+10:00,m5,2022-07-12 10:21:16+10:00,,n
1125357,2022-07-12 10:21:24.497438+10:00,hue0,2022-07-12 10:21:24+10:00,True,n
1146076,2022-07-12 11:38:13.475339+10:00,m1,2022-07-12 10:21:25+10:00,,n
1146083,2022-07-12 11:38:13.512709+10:00,m2,2022-07-12 10:21:25+10:00,,n
1125447,2022-07-12 10:21:44.517508+10:00,hue0,2022-07-12 10:21:34+10:00,False,n
1127187,2022-07-12 10:28:11.023821+10:00,m5,2022-07-12 10:21:50+10:00,,n
1125483,2022-07-12 10:21:52.528288+10:00,hue0,2022-07-12 10:21:51+10:00,True,n
1127220,2022-07-12 10:28:18.949728+10:00,hue0,2022-07-12 10:22:01+10:00,False,n
1130517,2022-07-12 10:40:31.838639+10:00,m5,2022-07-12 10:31:08+10:00,,n
1133435,2022-07-12 10:51:20.512794+10:00,m3,2022-07-12 10:31:10+10:00,,n
1128021,2022-07-12 10:31:17.147294+10:00,hue0,2022-07-12 10:31:15+10:00,True,n
1130541,2022-07-12 10:40:37.762111+10:00,hue0,2022-07-12 10:31:25+10:00,False,n
1132682,2022-07-12 10:48:32.370898+10:00,m5,2022-07-12 10:45:09+10:00,,n
1131819,2022-07-12 10:45:22.046454+10:00,hue0,2022-07-12 10:45:16+10:00,True,n
1132638,2022-07-12 10:48:24.234505+10:00,hue0,2022-07-12 10:45:26+10:00,False,n
1133425,2022-07-12 10:51:18.504222+10:00,m5,2022-07-12 10:50:01+10:00,,n
1133124,2022-07-12 10:50:12.344556+10:00,hue0,2022-07-12 10:50:02+10:00,True,n
1135104,2022-07-12 10:57:32.787102+10:00,hue0,2022-07-12 10:50:14+10:00,False,n
1135377,2022-07-12 10:58:32.935444+10:00,m5,2022-07-12 10:51:46+10:00,,n
1135833,2022-07-12 11:00:14.948955+10:00,hue0,2022-07-12 11:00:07+10:00,True,n
1136058,2022-07-12 11:01:05.007351+10:00,hue0,2022-07-12 11:00:17+10:00,False,n
1142319,2022-07-12 11:24:16.597892+10:00,m3,2022-07-12 11:01:40+10:00,,n
1137803,2022-07-12 11:07:31.525263+10:00,m5,2022-07-12 11:01:41+10:00,,n
1136265,2022-07-12 11:01:51.052092+10:00,hue0,2022-07-12 11:01:42+10:00,True,n
1137858,2022-07-12 11:07:45.430449+10:00,hue0,2022-07-12 11:01:52+10:00,False,n
1138581,2022-07-12 11:10:25.705167+10:00,m5,2022-07-12 11:10:08+10:00,,n
1138632,2022-07-12 11:10:37.633501+10:00,hue0,2022-07-12 11:10:32+10:00,True,n
1143082,2022-07-12 11:27:06.773917+10:00,m5,2022-07-12 11:10:32+10:00,,n
1143123,2022-07-12 11:27:16.703030+10:00,hue0,2022-07-12 11:10:42+10:00,False,n
1145512,2022-07-12 11:36:07.347396+10:00,m3,2022-07-12 11:35:31+10:00,,n
1145510,2022-07-12 11:36:07.342629+10:00,m5,2022-07-12 11:35:31+10:00,,n
1145391,2022-07-12 11:35:41.229978+10:00,hue0,2022-07-12 11:35:32+10:00,True,n
1145616,2022-07-12 11:36:31.289111+10:00,hue0,2022-07-12 11:35:42+10:00,False,n
1145854,2022-07-12 11:37:23.429792+10:00,m5,2022-07-12 11:36:26+10:00,,n
1146245,2022-07-12 11:38:49.563931+10:00,m3,2022-07-12 11:36:28+10:00,,n
1145652,2022-07-12 11:36:39.296968+10:00,hue0,2022-07-12 11:36:33+10:00,True,n
1145832,2022-07-12 11:37:19.342590+10:00,hue0,2022-07-12 11:36:43+10:00,False,n
1146213,2022-07-12 11:38:43.518431+10:00,m5,2022-07-12 11:37:41+10:00,,n
1146003,2022-07-12 11:37:57.381512+10:00,hue0,2022-07-12 11:37:48+10:00,True,n
1146426,2022-07-12 11:39:31.494284+10:00,hue0,2022-07-12 11:37:58+10:00,False,n
1148409,2022-07-12 11:46:52.036092+10:00,m5,2022-07-12 11:39:02+10:00,,4r
1146465,2022-07-12 11:39:39.589563+10:00,m8,2022-07-12 11:39:02+10:00,,4r
1146397,2022-07-12 11:39:23.583489+10:00,m4,2022-07-12 11:39:08+10:00,,4r
1146522,2022-07-12 11:39:51.614196+10:00,m4,2022-07-12 11:39:28+10:00,,4r
1148422,2022-07-12 11:46:54.054156+10:00,m4,2022-07-12 11:39:49+10:00,,4r
1148429,2022-07-12 11:46:56.047652+10:00,m8,2022-07-12 11:39:54+10:00,,4r
1148484,2022-07-12 11:47:08.056358+10:00,m3,2022-07-12 11:40:00+10:00,,4r
1146606,2022-07-12 11:40:11.547067+10:00,hue0,2022-07-12 11:40:04+10:00,True,4r
1148370,2022-07-12 11:46:43.945289+10:00,hue0,2022-07-12 11:40:14+10:00,False,4r
1154493,2022-07-12 12:09:25.433136+10:00,m8,2022-07-12 11:50:22+10:00,,4r
1149414,2022-07-12 11:50:36.179214+10:00,hue0,2022-07-12 11:50:23+10:00,True,4r
1149518,2022-07-12 11:50:58.299343+10:00,m3,2022-07-12 11:50:23+10:00,,4r
1149456,2022-07-12 11:50:44.291710+10:00,m4,2022-07-12 11:50:28+10:00,,4r
1149540,2022-07-12 11:51:04.209640+10:00,hue0,2022-07-12 11:50:37+10:00,False,4r
1149602,2022-07-12 11:51:16.328570+10:00,m4,2022-07-12 11:50:49+10:00,,4r
1155341,2022-07-12 12:12:33.655425+10:00,m3,2022-07-12 11:51:14+10:00,,n
1150435,2022-07-12 11:54:22.507973+10:00,m5,2022-07-12 11:51:15+10:00,,n
1149655,2022-07-12 11:51:28.336783+10:00,m4,2022-07-12 11:51:15+10:00,,4r
1149630,2022-07-12 11:51:24.230767+10:00,hue0,2022-07-12 11:51:16+10:00,True,n
1150503,2022-07-12 11:54:38.432788+10:00,hue0,2022-07-12 11:51:26+10:00,False,n
1149798,2022-07-12 11:52:00.360576+10:00,m4,2022-07-12 11:51:35+10:00,,4r
1149898,2022-07-12 11:52:22.382809+10:00,m4,2022-07-12 11:51:59+10:00,,4r
1149989,2022-07-12 11:52:42.452604+10:00,m4,2022-07-12 11:52:19+10:00,,4r
1150087,2022-07-12 11:53:04.458771+10:00,m4,2022-07-12 11:52:41+10:00,,4r
1150205,2022-07-12 11:53:30.463849+10:00,m4,2022-07-12 11:53:04+10:00,,4r
1150304,2022-07-12 11:53:52.486310+10:00,m4,2022-07-12 11:53:28+10:00,,4r
1151490,2022-07-12 11:58:16.789340+10:00,m4,2022-07-12 11:54:07+10:00,,4r
1154539,2022-07-12 12:09:35.446039+10:00,m5,2022-07-12 11:56:01+10:00,,n
1150935,2022-07-12 11:56:14.552031+10:00,hue0,2022-07-12 11:56:08+10:00,True,n
1154391,2022-07-12 12:09:03.334059+10:00,hue0,2022-07-12 11:56:18+10:00,False,n
1152966,2022-07-12 12:03:45.103194+10:00,m4,2022-07-12 12:00:32+10:00,,4r
1153579,2022-07-12 12:06:01.235500+10:00,m4,2022-07-12 12:05:23+10:00,,4r
1153651,2022-07-12 12:06:17.248052+10:00,m4,2022-07-12 12:06:00+10:00,,4r
1154236,2022-07-12 12:08:27.392431+10:00,m4,2022-07-12 12:06:25+10:00,,4r
1154587,2022-07-12 12:09:45.474241+10:00,m4,2022-07-12 12:09:10+10:00,,4r
1154795,2022-07-12 12:10:31.575349+10:00,m4,2022-07-12 12:10:02+10:00,,4r
1154938,2022-07-12 12:11:03.559345+10:00,m4,2022-07-12 12:10:45+10:00,,4r
1155316,2022-07-12 12:12:27.693438+10:00,m4,2022-07-12 12:11:08+10:00,,4r
1155515,2022-07-12 12:13:11.706042+10:00,m4,2022-07-12 12:12:53+10:00,,4r
1155740,2022-07-12 12:14:01.782650+10:00,m4,2022-07-12 12:13:16+10:00,,4r
1156422,2022-07-12 12:16:33.907305+10:00,m4,2022-07-12 12:14:34+10:00,,4r
1156816,2022-07-12 12:18:01.991638+10:00,m5,2022-07-12 12:16:26+10:00,,1r
1157867,2022-07-12 12:21:56.224088+10:00,m2,2022-07-12 12:16:33+10:00,,1r
1156452,2022-07-12 12:16:41.817741+10:00,hue0,2022-07-12 12:16:33+10:00,True,1r
1157974,2022-07-12 12:22:20.244738+10:00,m1,2022-07-12 12:16:34+10:00,,1r
1156522,2022-07-12 12:16:55.933933+10:00,m7,2022-07-12 12:16:40+10:00,,1r
1157136,2022-07-12 12:19:13.981446+10:00,hue0,2022-07-12 12:16:43+10:00,False,1r
1156603,2022-07-12 12:17:13.948343+10:00,m7,2022-07-12 12:17:00+10:00,,1r
1156610,2022-07-12 12:17:15.936665+10:00,m6,2022-07-12 12:17:00+10:00,,1r
1158098,2022-07-12 12:22:46.297615+10:00,m7,2022-07-12 12:17:20+10:00,,1r
1156770,2022-07-12 12:17:51.975456+10:00,m6,2022-07-12 12:17:20+10:00,,1r
1156856,2022-07-12 12:18:10.019160+10:00,m4,2022-07-12 12:17:28+10:00,,4r
1157301,2022-07-12 12:19:50.150748+10:00,m6,2022-07-12 12:17:51+10:00,,1r
1157035,2022-07-12 12:18:50.052606+10:00,m4,2022-07-12 12:18:33+10:00,,4r
1157111,2022-07-12 12:19:08.052243+10:00,m8,2022-07-12 12:18:43+10:00,,4r
1158337,2022-07-12 12:23:40.334401+10:00,m5,2022-07-12 12:18:44+10:00,,2r
1157304,2022-07-12 12:19:50.165327+10:00,m4,2022-07-12 12:18:54+10:00,,4r
1157174,2022-07-12 12:19:22.068283+10:00,m8,2022-07-12 12:19:03+10:00,,2r
1157306,2022-07-12 12:19:50.185511+10:00,m8,2022-07-12 12:19:24+10:00,,2r
1157363,2022-07-12 12:20:04.117617+10:00,m8,2022-07-12 12:19:45+10:00,,2r
1157454,2022-07-12 12:20:24.140680+10:00,m8,2022-07-12 12:20:06+10:00,,2r
1157580,2022-07-12 12:20:52.165822+10:00,m8,2022-07-12 12:20:27+10:00,,2r
1157575,2022-07-12 12:20:50.187437+10:00,m4,2022-07-12 12:20:30+10:00,,4r
1158147,2022-07-12 12:22:58.291850+10:00,m6,2022-07-12 12:20:31+10:00,,1r
1157644,2022-07-12 12:21:06.175343+10:00,m8,2022-07-12 12:20:47+10:00,,2r
1157926,2022-07-12 12:22:08.255828+10:00,m4,2022-07-12 12:20:57+10:00,,4r
1157741,2022-07-12 12:21:28.193222+10:00,m8,2022-07-12 12:21:07+10:00,,2r
1157793,2022-07-12 12:21:40.149114+10:00,hue0,2022-07-12 12:21:31+10:00,True,n
1157885,2022-07-12 12:22:00.230462+10:00,m8,2022-07-12 12:21:36+10:00,,2r
1158414,2022-07-12 12:23:58.272874+10:00,hue0,2022-07-12 12:21:41+10:00,False,n
1157980,2022-07-12 12:22:20.279468+10:00,m8,2022-07-12 12:21:56+10:00,,2r
1158066,2022-07-12 12:22:40.280870+10:00,m8,2022-07-12 12:22:16+10:00,,2r
1158165,2022-07-12 12:23:02.309459+10:00,m8,2022-07-12 12:22:36+10:00,,2r
1158123,2022-07-12 12:22:52.308650+10:00,m4,2022-07-12 12:22:37+10:00,,4r
1158264,2022-07-12 12:23:24.316695+10:00,m8,2022-07-12 12:22:58+10:00,,2r
1158260,2022-07-12 12:23:22.362960+10:00,m4,2022-07-12 12:22:59+10:00,,4r
1158545,2022-07-12 12:24:26.393996+10:00,m3,2022-07-12 12:23:01+10:00,,2r
1158364,2022-07-12 12:23:46.361100+10:00,m8,2022-07-12 12:23:20+10:00,,2r
1158350,2022-07-12 12:23:42.352676+10:00,m4,2022-07-12 12:23:20+10:00,,4r
1158413,2022-07-12 12:23:56.369853+10:00,m4,2022-07-12 12:23:40+10:00,,4r
1158411,2022-07-12 12:23:56.365170+10:00,m8,2022-07-12 12:23:41+10:00,,2r
1158529,2022-07-12 12:24:22.413129+10:00,m4,2022-07-12 12:24:00+10:00,,4r
1158525,2022-07-12 12:24:22.398360+10:00,m8,2022-07-12 12:24:01+10:00,,2r
1158607,2022-07-12 12:24:40.397998+10:00,m6,2022-07-12 12:24:13+10:00,,1r
1158602,2022-07-12 12:24:38.413808+10:00,m4,2022-07-12 12:24:20+10:00,,4r
1158641,2022-07-12 12:24:48.405426+10:00,m8,2022-07-12 12:24:22+10:00,,2r
1158652,2022-07-12 12:24:50.423840+10:00,m2,2022-07-12 12:24:34+10:00,,n
1158764,2022-07-12 12:25:14.470836+10:00,m6,2022-07-12 12:24:38+10:00,,1r
1158871,2022-07-12 12:25:38.501081+10:00,m8,2022-07-12 12:24:44+10:00,,2r
1158709,2022-07-12 12:25:02.441481+10:00,m4,2022-07-12 12:24:45+10:00,,4r
1169827,2022-07-12 13:06:17.166131+10:00,m2,2022-07-12 12:24:54+10:00,,n
1158878,2022-07-12 12:25:40.468022+10:00,m3,2022-07-12 12:25:02+10:00,,2r
1158765,2022-07-12 12:25:16.353874+10:00,hue0,2022-07-12 12:25:07+10:00,True,2r
1158880,2022-07-12 12:25:40.477915+10:00,m4,2022-07-12 12:25:08+10:00,,4r
1169782,2022-07-12 13:06:07.151914+10:00,m1,2022-07-12 12:25:09+10:00,,2r
1158898,2022-07-12 12:25:44.502844+10:00,m6,2022-07-12 12:25:11+10:00,,1r
1158827,2022-07-12 12:25:28.500624+10:00,m7,2022-07-12 12:25:14+10:00,,2r
1158837,2022-07-12 12:25:32.369921+10:00,hue0,2022-07-12 12:25:17+10:00,False,2r
1158943,2022-07-12 12:25:54.493872+10:00,m7,2022-07-12 12:25:34+10:00,,2r
1158909,2022-07-12 12:25:48.388152+10:00,hue0,2022-07-12 12:25:35+10:00,True,n
1159049,2022-07-12 12:26:18.505591+10:00,m3,2022-07-12 12:25:38+10:00,,n
1158942,2022-07-12 12:25:54.491858+10:00,m4,2022-07-12 12:25:38+10:00,,4r
1159003,2022-07-12 12:26:08.491410+10:00,m6,2022-07-12 12:25:43+10:00,,1r
1159017,2022-07-12 12:26:12.412410+10:00,hue0,2022-07-12 12:25:49+10:00,False,n
1159043,2022-07-12 12:26:16.520848+10:00,m7,2022-07-12 12:25:54+10:00,,2r
1159047,2022-07-12 12:26:18.497615+10:00,m8,2022-07-12 12:25:54+10:00,,n
1161218,2022-07-12 12:34:21.026971+10:00,m5,2022-07-12 12:25:55+10:00,,n
1159051,2022-07-12 12:26:18.513763+10:00,m4,2022-07-12 12:25:59+10:00,,4r
1159372,2022-07-12 12:27:30.591550+10:00,m6,2022-07-12 12:26:07+10:00,,1r
1159119,2022-07-12 12:26:34.515168+10:00,m8,2022-07-12 12:26:15+10:00,,n
1159203,2022-07-12 12:26:52.569680+10:00,m7,2022-07-12 12:26:16+10:00,,2r
1159626,2022-07-12 12:28:26.663497+10:00,m3,2022-07-12 12:26:17+10:00,,n
1159151,2022-07-12 12:26:40.536360+10:00,m4,2022-07-12 12:26:19+10:00,,4r
1159098,2022-07-12 12:26:30.432145+10:00,hue0,2022-07-12 12:26:22+10:00,True,n
1159683,2022-07-12 12:28:40.563531+10:00,hue0,2022-07-12 12:26:32+10:00,False,n
1159247,2022-07-12 12:27:02.584526+10:00,m8,2022-07-12 12:26:35+10:00,,n
1159241,2022-07-12 12:27:00.618444+10:00,m4,2022-07-12 12:26:39+10:00,,4r
1159321,2022-07-12 12:27:18.579518+10:00,m7,2022-07-12 12:26:53+10:00,,2r
1159329,2022-07-12 12:27:20.578756+10:00,m4,2022-07-12 12:26:59+10:00,,4r
1159454,2022-07-12 12:27:48.623735+10:00,m8,2022-07-12 12:27:12+10:00,,n
1159394,2022-07-12 12:27:34.614968+10:00,m7,2022-07-12 12:27:18+10:00,,2r
1159428,2022-07-12 12:27:42.615340+10:00,m4,2022-07-12 12:27:19+10:00,,4r
1159519,2022-07-12 12:28:02.657598+10:00,m4,2022-07-12 12:27:40+10:00,,4r
1159509,2022-07-12 12:28:00.634099+10:00,m7,2022-07-12 12:27:42+10:00,,2r
1159535,2022-07-12 12:28:06.635781+10:00,m8,2022-07-12 12:27:43+10:00,,n
1159795,2022-07-12 12:29:04.689475+10:00,m6,2022-07-12 12:27:58+10:00,,1r
1159608,2022-07-12 12:28:22.664755+10:00,m4,2022-07-12 12:28:01+10:00,,4r
1159610,2022-07-12 12:28:22.675803+10:00,m7,2022-07-12 12:28:02+10:00,,2r
1159695,2022-07-12 12:28:42.671987+10:00,m8,2022-07-12 12:28:13+10:00,,n
1159716,2022-07-12 12:28:46.715663+10:00,m4,2022-07-12 12:28:22+10:00,,4r
1159708,2022-07-12 12:28:44.727986+10:00,m7,2022-07-12 12:28:23+10:00,,2r
1159790,2022-07-12 12:29:02.697240+10:00,m8,2022-07-12 12:28:38+10:00,,n
1159835,2022-07-12 12:29:12.723791+10:00,m7,2022-07-12 12:28:44+10:00,,2r
1159788,2022-07-12 12:29:02.684681+10:00,m4,2022-07-12 12:28:44+10:00,,4r
1159887,2022-07-12 12:29:24.728292+10:00,m4,2022-07-12 12:29:05+10:00,,4r
1159992,2022-07-12 12:29:48.724346+10:00,m8,2022-07-12 12:29:06+10:00,,n
1159921,2022-07-12 12:29:32.721034+10:00,m7,2022-07-12 12:29:12+10:00,,2r
1160031,2022-07-12 12:29:56.740921+10:00,m3,2022-07-12 12:29:24+10:00,,n
1160030,2022-07-12 12:29:56.738401+10:00,m6,2022-07-12 12:29:25+10:00,,1r
1159996,2022-07-12 12:29:48.743050+10:00,m4,2022-07-12 12:29:25+10:00,,4r
1159917,2022-07-12 12:29:32.626352+10:00,hue0,2022-07-12 12:29:30+10:00,True,n
1160076,2022-07-12 12:30:06.763817+10:00,m7,2022-07-12 12:29:33+10:00,,2r
1160016,2022-07-12 12:29:54.649494+10:00,hue0,2022-07-12 12:29:40+10:00,False,n
1160078,2022-07-12 12:30:06.796520+10:00,m4,2022-07-12 12:29:48+10:00,,4r
