,collected_at,sensor_name,last_update,trigger,annotation
1475609,2022-07-14 08:00:12.117525+10:00,m4,2022-07-13 16:20:32+10:00,,n
1475603,2022-07-14 08:00:12.045524+10:00,m8,2022-07-13 16:20:43+10:00,,n
1475606,2022-07-14 08:00:12.062523+10:00,m3,2022-07-13 16:58:04+10:00,,n
1475602,2022-07-14 08:00:12.041945+10:00,m7,2022-07-13 18:41:45+10:00,,n
1475607,2022-07-14 08:00:12.073830+10:00,m6,2022-07-13 18:41:49+10:00,,n
1475608,2022-07-14 08:00:12.075318+10:00,m1,2022-07-13 18:41:51+10:00,,n
1475605,2022-07-14 08:00:12.060988+10:00,m2,2022-07-13 18:41:58+10:00,,n
1475604,2022-07-14 08:00:12.060268+10:00,m5,2022-07-13 18:42:04+10:00,,n
1475601,2022-07-14 08:00:11.628702+10:00,hue0,2022-07-13 18:42:15+10:00,False,n
1519816,2022-07-14 10:44:06.912183+10:00,m5,2022-07-14 10:31:34+10:00,,n
1522093,2022-07-14 10:52:33.396777+10:00,m5,2022-07-14 10:50:25+10:00,,n
1529146,2022-07-14 11:18:43.193196+10:00,m5,2022-07-14 10:53:23+10:00,,4r
1529471,2022-07-14 11:19:55.262041+10:00,m8,2022-07-14 10:53:26+10:00,,4r
1522415,2022-07-14 10:53:45.476139+10:00,m4,2022-07-14 10:53:27+10:00,,4r
1522365,2022-07-14 10:53:35.374789+10:00,hue0,2022-07-14 10:53:32+10:00,True,n
1529151,2022-07-14 11:18:45.104793+10:00,hue0,2022-07-14 10:53:42+10:00,False,n
1522492,2022-07-14 10:54:03.475236+10:00,m4,2022-07-14 10:53:48+10:00,,4r
1522655,2022-07-14 10:54:39.517135+10:00,m4,2022-07-14 10:54:10+10:00,,4r
1522781,2022-07-14 10:55:07.549316+10:00,m4,2022-07-14 10:54:41+10:00,,4r
1522913,2022-07-14 10:55:35.630627+10:00,m4,2022-07-14 10:55:10+10:00,,4r
1523014,2022-07-14 10:55:59.611300+10:00,m4,2022-07-14 10:55:37+10:00,,4r
1523223,2022-07-14 10:56:45.684744+10:00,m4,2022-07-14 10:56:16+10:00,,4r
1523437,2022-07-14 10:57:33.723335+10:00,m4,2022-07-14 10:57:04+10:00,,4r
1523590,2022-07-14 10:58:07.759860+10:00,m4,2022-07-14 10:57:51+10:00,,4r
1524068,2022-07-14 10:59:53.901674+10:00,m4,2022-07-14 10:58:17+10:00,,4r
1524366,2022-07-14 11:00:59.966831+10:00,m4,2022-07-14 11:00:32+10:00,,4r
1524545,2022-07-14 11:01:40.010890+10:00,m4,2022-07-14 11:01:16+10:00,,4r
1525228,2022-07-14 11:04:12.167647+10:00,m4,2022-07-14 11:01:59+10:00,,4r
1525679,2022-07-14 11:05:52.286265+10:00,m4,2022-07-14 11:05:24+10:00,,4r
1525978,2022-07-14 11:06:58.372956+10:00,m4,2022-07-14 11:06:14+10:00,,4r
1526263,2022-07-14 11:08:02.429302+10:00,m4,2022-07-14 11:07:33+10:00,,4r
1526436,2022-07-14 11:08:40.474934+10:00,m4,2022-07-14 11:08:02+10:00,,4r
1526626,2022-07-14 11:09:22.529695+10:00,m4,2022-07-14 11:09:09+10:00,,4r
1526732,2022-07-14 11:09:46.574113+10:00,m4,2022-07-14 11:09:29+10:00,,4r
1526831,2022-07-14 11:10:08.578260+10:00,m4,2022-07-14 11:09:49+10:00,,4r
1526897,2022-07-14 11:10:22.610931+10:00,m4,2022-07-14 11:10:09+10:00,,4r
1527017,2022-07-14 11:10:48.673301+10:00,m4,2022-07-14 11:10:30+10:00,,4r
