,collected_at,sensor_name,last_update,trigger,annotation
2086314,2022-07-19 08:00:05.281723+10:00,m7,2022-07-18 16:21:22+10:00,,n
2086317,2022-07-19 08:00:05.292089+10:00,m1,2022-07-18 16:59:16+10:00,,n
2086319,2022-07-19 08:00:05.302667+10:00,m2,2022-07-18 16:59:16+10:00,,n
2086318,2022-07-19 08:00:05.301806+10:00,m6,2022-07-18 16:59:17+10:00,,n
2086320,2022-07-19 08:00:05.313375+10:00,m4,2022-07-18 17:02:44+10:00,,n
2086313,2022-07-19 08:00:05.269664+10:00,m8,2022-07-18 17:03:02+10:00,,n
2086316,2022-07-19 08:00:05.290920+10:00,m3,2022-07-18 17:38:16+10:00,,n
2086312,2022-07-19 08:00:04.829352+10:00,hue0,2022-07-18 17:38:31+10:00,False,n
2086315,2022-07-19 08:00:05.285507+10:00,m5,2022-07-18 20:04:36+10:00,,n
2123930,2022-07-19 10:19:32.972786+10:00,m5,2022-07-19 10:18:09+10:00,,n
2123617,2022-07-19 10:18:24.770893+10:00,hue0,2022-07-19 10:18:15+10:00,True,n
2123887,2022-07-19 10:19:24.841616+10:00,hue0,2022-07-19 10:18:25+10:00,False,n
2124252,2022-07-19 10:20:45.027009+10:00,m3,2022-07-19 10:20:12+10:00,,n
2124148,2022-07-19 10:20:22.908214+10:00,hue0,2022-07-19 10:20:14+10:00,True,n
2124208,2022-07-19 10:20:35.012775+10:00,m5,2022-07-19 10:20:15+10:00,,n
2124157,2022-07-19 10:20:24.910732+10:00,hue0,2022-07-19 10:20:23+10:00,False,n
2124202,2022-07-19 10:20:34.956885+10:00,hue0,2022-07-19 10:20:28+10:00,True,n
2132869,2022-07-19 10:52:43.180721+10:00,hue0,2022-07-19 10:20:38+10:00,False,n
2149892,2022-07-19 11:55:49.764774+10:00,m3,2022-07-19 10:20:44+10:00,,n
2125020,2022-07-19 10:23:35.221748+10:00,m5,2022-07-19 10:20:47+10:00,,n
2127448,2022-07-19 10:32:35.849197+10:00,m5,2022-07-19 10:24:31+10:00,,n
2136340,2022-07-19 11:05:34.182561+10:00,m5,2022-07-19 10:36:25+10:00,,4r
2128619,2022-07-19 10:36:56.160031+10:00,m4,2022-07-19 10:36:30+10:00,,4r
2128790,2022-07-19 10:37:34.205095+10:00,m4,2022-07-19 10:36:55+10:00,,4r
2128853,2022-07-19 10:37:48.219986+10:00,m4,2022-07-19 10:37:34+10:00,,4r
2128978,2022-07-19 10:38:16.250776+10:00,m4,2022-07-19 10:37:55+10:00,,4r
2129310,2022-07-19 10:39:30.341148+10:00,m4,2022-07-19 10:38:15+10:00,,4r
2129517,2022-07-19 10:40:16.394630+10:00,m4,2022-07-19 10:39:54+10:00,,4r
2129632,2022-07-19 10:40:42.424243+10:00,m4,2022-07-19 10:40:15+10:00,,4r
2130095,2022-07-19 10:42:24.555291+10:00,m4,2022-07-19 10:41:01+10:00,,4r
2130479,2022-07-19 10:43:50.658916+10:00,m4,2022-07-19 10:42:56+10:00,,4r
2131103,2022-07-19 10:46:08.836113+10:00,m4,2022-07-19 10:44:09+10:00,,4r
2131544,2022-07-19 10:47:46.934107+10:00,m4,2022-07-19 10:47:06+10:00,,4r
2131725,2022-07-19 10:48:27.000397+10:00,m4,2022-07-19 10:48:12+10:00,,4r
2131833,2022-07-19 10:48:51.007444+10:00,m4,2022-07-19 10:48:33+10:00,,4r
2132765,2022-07-19 10:52:19.240915+10:00,m4,2022-07-19 10:49:01+10:00,,4r
2133378,2022-07-19 10:54:35.401510+10:00,m4,2022-07-19 10:54:03+10:00,,4r
2133567,2022-07-19 10:55:17.462565+10:00,m4,2022-07-19 10:54:57+10:00,,4r
2133642,2022-07-19 10:55:33.504092+10:00,m4,2022-07-19 10:55:18+10:00,,4r
2133992,2022-07-19 10:56:51.574044+10:00,m4,2022-07-19 10:55:42+10:00,,4r
2134207,2022-07-19 10:57:39.625167+10:00,m4,2022-07-19 10:57:18+10:00,,4r
2134342,2022-07-19 10:58:09.661270+10:00,m4,2022-07-19 10:57:39+10:00,,4r
2134550,2022-07-19 10:58:55.721420+10:00,m4,2022-07-19 10:58:31+10:00,,4r
2134747,2022-07-19 10:59:39.772016+10:00,m4,2022-07-19 10:59:13+10:00,,4r
2134892,2022-07-19 11:00:11.817533+10:00,m4,2022-07-19 10:59:57+10:00,,4r
2135072,2022-07-19 11:00:51.855798+10:00,m4,2022-07-19 11:00:21+10:00,,4r
2135244,2022-07-19 11:01:29.928570+10:00,m4,2022-07-19 11:01:08+10:00,,4r
2135557,2022-07-19 11:02:39.974771+10:00,m4,2022-07-19 11:01:43+10:00,,4r
2135712,2022-07-19 11:03:14.014103+10:00,m4,2022-07-19 11:02:57+10:00,,4r
2135835,2022-07-19 11:03:42.036746+10:00,m4,2022-07-19 11:03:19+10:00,,4r
2135999,2022-07-19 11:04:18.083567+10:00,m4,2022-07-19 11:03:55+10:00,,4r
2136150,2022-07-19 11:04:52.123726+10:00,m4,2022-07-19 11:04:17+10:00,,4r
2136251,2022-07-19 11:05:14.153783+10:00,m4,2022-07-19 11:04:53+10:00,,4r
2136375,2022-07-19 11:05:42.179944+10:00,m4,2022-07-19 11:05:14+10:00,,4r
2136457,2022-07-19 11:06:00.204213+10:00,m4,2022-07-19 11:05:42+10:00,,4r
2136591,2022-07-19 11:06:30.242826+10:00,m4,2022-07-19 11:06:07+10:00,,4r
2136754,2022-07-19 11:07:06.284519+10:00,m4,2022-07-19 11:06:42+10:00,,4r
2136970,2022-07-19 11:07:54.349921+10:00,m4,2022-07-19 11:07:17+10:00,,4r
2137050,2022-07-19 11:08:12.371578+10:00,m4,2022-07-19 11:07:53+10:00,,4r
2137258,2022-07-19 11:08:58.425113+10:00,m4,2022-07-19 11:08:39+10:00,,4r
2137252,2022-07-19 11:08:58.331988+10:00,hue0,2022-07-19 11:08:49+10:00,True,n
2137392,2022-07-19 11:09:28.446310+10:00,m4,2022-07-19 11:08:59+10:00,,4r
2139439,2022-07-19 11:17:04.902809+10:00,hue0,2022-07-19 11:08:59+10:00,False,n
2137474,2022-07-19 11:09:46.474374+10:00,m4,2022-07-19 11:09:28+10:00,,4r
2137617,2022-07-19 11:10:18.506544+10:00,m4,2022-07-19 11:09:54+10:00,,4r
2137816,2022-07-19 11:11:02.558095+10:00,m4,2022-07-19 11:10:32+10:00,,4r
2137951,2022-07-19 11:11:32.589764+10:00,m4,2022-07-19 11:11:17+10:00,,4r
2138068,2022-07-19 11:11:58.624597+10:00,m4,2022-07-19 11:11:38+10:00,,4r
2138158,2022-07-19 11:12:18.647516+10:00,m4,2022-07-19 11:11:58+10:00,,4r
2138357,2022-07-19 11:13:02.702206+10:00,m4,2022-07-19 11:12:28+10:00,,4r
2138472,2022-07-19 11:13:28.735547+10:00,m4,2022-07-19 11:13:02+10:00,,4r
2138599,2022-07-19 11:13:56.787391+10:00,m4,2022-07-19 11:13:27+10:00,,4r
2138689,2022-07-19 11:14:16.798142+10:00,m4,2022-07-19 11:13:55+10:00,,4r
2138815,2022-07-19 11:14:44.830085+10:00,m4,2022-07-19 11:14:15+10:00,,4r
2138975,2022-07-19 11:15:20.870278+10:00,m4,2022-07-19 11:14:43+10:00,,4r
2139463,2022-07-19 11:17:09.009094+10:00,m4,2022-07-19 11:15:47+10:00,,4r
2139670,2022-07-19 11:17:55.056562+10:00,m4,2022-07-19 11:17:40+10:00,,4r
2139771,2022-07-19 11:18:17.072938+10:00,m4,2022-07-19 11:18:01+10:00,,4r
2139877,2022-07-19 11:18:41.100000+10:00,m4,2022-07-19 11:18:21+10:00,,4r
2140102,2022-07-19 11:19:31.160856+10:00,m4,2022-07-19 11:18:41+10:00,,4r
2141929,2022-07-19 11:26:17.655499+10:00,m5,2022-07-19 11:19:47+10:00,,n
2140292,2022-07-19 11:20:13.229850+10:00,m4,2022-07-19 11:19:48+10:00,,4r
2140231,2022-07-19 11:20:01.107399+10:00,hue0,2022-07-19 11:19:52+10:00,True,n
