,collected_at,sensor_name,last_update,trigger,annotation
229849,2022-07-07 10:45:22.092293+10:00,m4,2022-07-07 10:33:23+10:00,,
231298,2022-07-07 10:45:34.118331+10:00,m8,2022-07-07 10:33:37+10:00,,
232090,2022-07-07 10:45:30.096174+10:00,m3,2022-07-07 10:33:39+10:00,,
232108,2022-07-07 10:33:51.175105+10:00,hue0,2022-07-07 10:33:43+10:00,True,
232153,2022-07-07 10:45:50.034373+10:00,hue0,2022-07-07 10:33:52+10:00,False,
232567,2022-07-07 10:52:16.611055+10:00,m3,2022-07-07 10:51:21+10:00,,
232945,2022-07-07 10:51:22.456915+10:00,hue0,2022-07-07 10:51:22+10:00,True,
233116,2022-07-07 10:52:16.603031+10:00,m8,2022-07-07 10:51:23+10:00,,
233134,2022-07-07 10:51:58.626759+10:00,m4,2022-07-07 10:51:26+10:00,,
233233,2022-07-07 10:52:28.538172+10:00,hue0,2022-07-07 10:51:32+10:00,False,
233287,2022-07-07 10:52:18.615346+10:00,m4,2022-07-07 10:51:59+10:00,,
233467,2022-07-07 10:52:52.656806+10:00,m4,2022-07-07 10:52:30+10:00,,
233647,2022-07-07 10:53:16.786069+10:00,m4,2022-07-07 10:52:51+10:00,,
233710,2022-07-07 10:53:18.686335+10:00,m8,2022-07-07 10:52:54+10:00,,
233755,2022-07-07 10:53:14.689087+10:00,m3,2022-07-07 10:52:56+10:00,,
236671,2022-07-07 10:53:04.585212+10:00,hue0,2022-07-07 10:52:58+10:00,True,
238156,2022-07-07 11:05:41.488185+10:00,hue0,2022-07-07 10:53:08+10:00,False,
238174,2022-07-07 10:57:51.020564+10:00,m5,2022-07-07 10:53:22+10:00,,
238192,2022-07-07 10:57:41.020303+10:00,m3,2022-07-07 10:53:23+10:00,,
238768,2022-07-07 11:08:15.766510+10:00,m6,2022-07-07 10:53:27+10:00,,
238813,2022-07-07 11:08:13.735658+10:00,m2,2022-07-07 10:53:29+10:00,,
238975,2022-07-07 10:54:14.755349+10:00,m8,2022-07-07 10:53:29+10:00,,
239137,2022-07-07 11:08:07.729023+10:00,m1,2022-07-07 10:53:30+10:00,,
239299,2022-07-07 10:53:50.722329+10:00,m7,2022-07-07 10:53:32+10:00,,
239344,2022-07-07 10:53:52.921610+10:00,m4,2022-07-07 10:53:33+10:00,,
239686,2022-07-07 10:54:04.749257+10:00,m7,2022-07-07 10:53:52+10:00,,
239857,2022-07-07 10:54:14.773508+10:00,m4,2022-07-07 10:53:53+10:00,,
249622,2022-07-07 10:54:36.778343+10:00,m7,2022-07-07 10:54:12+10:00,,
254473,2022-07-07 10:54:36.783783+10:00,m4,2022-07-07 10:54:14+10:00,,
256282,2022-07-07 10:54:58.812696+10:00,m4,2022-07-07 10:54:35+10:00,,
257182,2022-07-07 10:54:54.802993+10:00,m7,2022-07-07 10:54:36+10:00,,
258577,2022-07-07 11:05:29.558347+10:00,m8,2022-07-07 10:54:44+10:00,,
259270,2022-07-07 10:55:16.823293+10:00,m7,2022-07-07 10:54:56+10:00,,
260728,2022-07-07 10:55:20.838366+10:00,m4,2022-07-07 10:55:00+10:00,,
261592,2022-07-07 10:55:38.864319+10:00,m7,2022-07-07 10:55:19+10:00,,
261673,2022-07-07 10:55:40.857730+10:00,m4,2022-07-07 10:55:20+10:00,,
261727,2022-07-07 10:55:56.878337+10:00,m7,2022-07-07 10:55:40+10:00,,
261835,2022-07-07 10:56:00.880159+10:00,m4,2022-07-07 10:55:43+10:00,,
261943,2022-07-07 10:56:24.908422+10:00,m4,2022-07-07 10:56:05+10:00,,
264517,2022-07-07 10:56:26.912111+10:00,m7,2022-07-07 10:56:05+10:00,,
265759,2022-07-07 10:56:44.931153+10:00,m4,2022-07-07 10:56:25+10:00,,
265768,2022-07-07 10:56:48.931294+10:00,m7,2022-07-07 10:56:27+10:00,,
265813,2022-07-07 10:57:10.957211+10:00,m4,2022-07-07 10:56:45+10:00,,
266335,2022-07-07 10:57:25.164966+10:00,m7,2022-07-07 10:57:03+10:00,,
266623,2022-07-07 10:57:49.007583+10:00,m4,2022-07-07 10:57:28+10:00,,
266731,2022-07-07 10:58:05.021351+10:00,m7,2022-07-07 10:57:37+10:00,,
266839,2022-07-07 10:58:09.041508+10:00,m4,2022-07-07 10:57:48+10:00,,
267487,2022-07-07 10:58:21.042623+10:00,m7,2022-07-07 10:58:06+10:00,,
267532,2022-07-07 10:58:41.086259+10:00,m4,2022-07-07 10:58:21+10:00,,
267622,2022-07-07 10:59:07.100901+10:00,m7,2022-07-07 10:58:27+10:00,,
267631,2022-07-07 10:58:59.100857+10:00,m4,2022-07-07 10:58:41+10:00,,
267820,2022-07-07 10:59:27.127904+10:00,m4,2022-07-07 10:59:05+10:00,,
267946,2022-07-07 10:59:25.122900+10:00,m7,2022-07-07 10:59:07+10:00,,
270043,2022-07-07 10:59:47.168025+10:00,m4,2022-07-07 10:59:26+10:00,,
271024,2022-07-07 11:00:59.242480+10:00,m7,2022-07-07 10:59:28+10:00,,
271141,2022-07-07 11:00:07.196210+10:00,m4,2022-07-07 10:59:46+10:00,,
271213,2022-07-07 11:06:59.666150+10:00,m3,2022-07-07 10:59:58+10:00,,
272293,2022-07-07 11:06:59.658697+10:00,m5,2022-07-07 11:00:00+10:00,,
272842,2022-07-07 11:00:29.225007+10:00,m4,2022-07-07 11:00:07+10:00,,
272860,2022-07-07 11:01:01.247871+10:00,m4,2022-07-07 11:00:28+10:00,,
273004,2022-07-07 11:01:23.269540+10:00,m4,2022-07-07 11:01:02+10:00,,
283687,2022-07-07 11:01:51.312274+10:00,m4,2022-07-07 11:01:23+10:00,,
288574,2022-07-07 11:02:05.351137+10:00,m7,2022-07-07 11:01:34+10:00,,
302893,2022-07-07 11:02:25.351161+10:00,m4,2022-07-07 11:02:08+10:00,,
310138,2022-07-07 11:03:01.497933+10:00,m7,2022-07-07 11:02:26+10:00,,
317698,2022-07-07 11:02:55.387048+10:00,m4,2022-07-07 11:02:35+10:00,,
131995,2022-07-07 11:03:15.438174+10:00,m4,2022-07-07 11:02:55+10:00,,
182674,2022-07-07 11:03:47.446639+10:00,m7,2022-07-07 11:03:15+10:00,,
186913,2022-07-07 11:03:53.457180+10:00,m4,2022-07-07 11:03:24+10:00,,
194086,2022-07-07 11:07:27.701424+10:00,m7,2022-07-07 11:03:49+10:00,,
210403,2022-07-07 11:04:13.479424+10:00,m4,2022-07-07 11:03:53+10:00,,
217126,2022-07-07 11:04:27.509155+10:00,m4,2022-07-07 11:04:13+10:00,,
217222,2022-07-07 11:04:59.528865+10:00,m4,2022-07-07 11:04:34+10:00,,
217369,2022-07-07 11:05:57.597306+10:00,m4,2022-07-07 11:04:59+10:00,,
217522,2022-07-07 11:06:39.675846+10:00,m4,2022-07-07 11:06:18+10:00,,
217666,2022-07-07 11:06:59.669333+10:00,m4,2022-07-07 11:06:39+10:00,,
218078,2022-07-07 11:07:13.679350+10:00,m4,2022-07-07 11:06:59+10:00,,
218296,2022-07-07 11:07:23.699003+10:00,m4,2022-07-07 11:07:21+10:00,,
218602,2022-07-07 11:08:01.735076+10:00,m4,2022-07-07 11:07:41+10:00,,
219367,2022-07-07 11:08:23.766440+10:00,m4,2022-07-07 11:08:02+10:00,,
219664,2022-07-07 11:08:43.776686+10:00,m4,2022-07-07 11:08:22+10:00,,
219898,2022-07-07 11:09:03.806313+10:00,m4,2022-07-07 11:08:43+10:00,,
224452,2022-07-07 11:09:27.849205+10:00,m4,2022-07-07 11:09:03+10:00,,
226817,2022-07-07 11:09:49.872159+10:00,m4,2022-07-07 11:09:27+10:00,,
230787,2022-07-07 11:09:41.853279+10:00,m7,2022-07-07 11:09:29+10:00,,
245827,2022-07-07 11:10:51.948403+10:00,m7,2022-07-07 11:09:49+10:00,,
256868,2022-07-07 11:10:11.894388+10:00,m4,2022-07-07 11:09:50+10:00,,
259325,2022-07-07 11:10:43.934418+10:00,m4,2022-07-07 11:10:10+10:00,,
259739,2022-07-07 11:10:57.933879+10:00,m3,2022-07-07 11:10:15+10:00,,
259973,2022-07-07 11:10:43.932718+10:00,m5,2022-07-07 11:10:15+10:00,,
265841,2022-07-07 11:11:03.948914+10:00,m4,2022-07-07 11:10:44+10:00,,
269227,2022-07-07 11:11:47.997153+10:00,m3,2022-07-07 11:10:58+10:00,,
269445,2022-07-07 11:12:04.005254+10:00,m5,2022-07-07 11:10:59+10:00,,
270693,2022-07-07 11:11:39.981826+10:00,m8,2022-07-07 11:10:59+10:00,,
275606,2022-07-07 11:11:23.978398+10:00,m4,2022-07-07 11:11:04+10:00,,
284984,2022-07-07 11:12:08.018521+10:00,m7,2022-07-07 11:11:14+10:00,,
289314,2022-07-07 11:11:37.986021+10:00,m4,2022-07-07 11:11:24+10:00,,
300978,2022-07-07 11:12:00.047675+10:00,m4,2022-07-07 11:11:44+10:00,,
306566,2022-07-07 11:12:28.047304+10:00,m8,2022-07-07 11:12:03+10:00,,
306692,2022-07-07 11:12:24.051140+10:00,m4,2022-07-07 11:12:04+10:00,,
306874,2022-07-07 11:12:22.034975+10:00,m3,2022-07-07 11:12:05+10:00,,
307404,2022-07-07 11:12:15.945050+10:00,hue0,2022-07-07 11:12:06+10:00,True,
309311,2022-07-07 11:13:24.022301+10:00,hue0,2022-07-07 11:12:16+10:00,False,
316725,2022-07-07 11:12:46.071918+10:00,m4,2022-07-07 11:12:25+10:00,,
320967,2022-07-07 11:13:46.143366+10:00,m3,2022-07-07 11:12:26+10:00,,
131999,2022-07-07 11:14:44.212178+10:00,m5,2022-07-07 11:12:27+10:00,,
182702,2022-07-07 11:13:12.090488+10:00,m8,2022-07-07 11:12:27+10:00,,
186869,2022-07-07 11:13:08.095309+10:00,m4,2022-07-07 11:12:46+10:00,,
194092,2022-07-07 11:13:08.092688+10:00,m7,2022-07-07 11:12:55+10:00,,
197174,2022-07-07 11:13:10.104546+10:00,m4,2022-07-07 11:13:08+10:00,,
198820,2022-07-07 11:13:34.225705+10:00,m7,2022-07-07 11:13:16+10:00,,
200279,2022-07-07 11:13:44.138523+10:00,m4,2022-07-07 11:13:29+10:00,,
200711,2022-07-07 11:13:50.140502+10:00,m7,2022-07-07 11:13:36+10:00,,
201212,2022-07-07 11:25:38.984693+10:00,m8,2022-07-07 11:13:44+10:00,,
202287,2022-07-07 11:15:18.251862+10:00,m3,2022-07-07 11:13:46+10:00,,
203952,2022-07-07 11:13:56.063466+10:00,hue0,2022-07-07 11:13:48+10:00,True,
204565,2022-07-07 11:14:10.175823+10:00,m4,2022-07-07 11:13:50+10:00,,
205185,2022-07-07 11:14:10.170732+10:00,m7,2022-07-07 11:13:57+10:00,,
205554,2022-07-07 11:15:00.148272+10:00,hue0,2022-07-07 11:13:58+10:00,False,
206616,2022-07-07 11:14:32.238388+10:00,m4,2022-07-07 11:14:10+10:00,,
207200,2022-07-07 11:14:40.231066+10:00,m7,2022-07-07 11:14:18+10:00,,
207749,2022-07-07 11:14:34.235277+10:00,m4,2022-07-07 11:14:31+10:00,,
208271,2022-07-07 11:15:04.239156+10:00,m7,2022-07-07 11:14:43+10:00,,
208874,2022-07-07 11:15:12.250108+10:00,m4,2022-07-07 11:14:51+10:00,,
209576,2022-07-07 11:15:20.256116+10:00,m7,2022-07-07 11:15:04+10:00,,
