,collected_at,sensor_name,last_update,trigger,annotation
893082,2022-07-11 08:00:07.210882+10:00,m4,2022-07-08 10:53:02+10:00,,n
893084,2022-07-11 08:00:07.700055+10:00,m8,2022-07-08 13:23:21+10:00,,n
893081,2022-07-11 08:00:07.207174+10:00,m3,2022-07-08 22:10:34+10:00,,n
893078,2022-07-11 08:00:07.161203+10:00,m1,2022-07-09 19:19:28+10:00,,n
893083,2022-07-11 08:00:07.213130+10:00,m7,2022-07-09 19:19:34+10:00,,n
893080,2022-07-11 08:00:07.188332+10:00,m6,2022-07-09 19:19:39+10:00,,n
893079,2022-07-11 08:00:07.181811+10:00,m2,2022-07-09 19:19:42+10:00,,n
893077,2022-07-11 08:00:07.160828+10:00,m5,2022-07-09 19:19:47+10:00,,n
893076,2022-07-11 08:00:06.735167+10:00,hue0,2022-07-09 19:19:56+10:00,False,n
928967,2022-07-11 10:13:10.737904+10:00,m5,2022-07-11 10:05:42+10:00,,n
935571,2022-07-11 10:37:40.276058+10:00,m3,2022-07-11 10:05:44+10:00,,n
926988,2022-07-11 10:05:52.099964+10:00,hue0,2022-07-11 10:05:48+10:00,True,n
929175,2022-07-11 10:13:58.670880+10:00,hue0,2022-07-11 10:05:58+10:00,False,n
930173,2022-07-11 10:17:39.010219+10:00,m5,2022-07-11 10:16:52+10:00,,n
931724,2022-07-11 10:23:25.353037+10:00,m2,2022-07-11 10:17:19+10:00,,n
930255,2022-07-11 10:17:58.913687+10:00,hue0,2022-07-11 10:17:58+10:00,True,n
936659,2022-07-11 10:41:42.539492+10:00,m5,2022-07-11 10:18:06+10:00,,n
936627,2022-07-11 10:41:36.418782+10:00,hue0,2022-07-11 10:18:08+10:00,False,n
932743,2022-07-11 10:27:11.612086+10:00,m2,2022-07-11 10:26:17+10:00,,n
932722,2022-07-11 10:27:07.594563+10:00,m1,2022-07-11 10:26:18+10:00,,n
932734,2022-07-11 10:27:09.598212+10:00,m6,2022-07-11 10:26:20+10:00,,n
932798,2022-07-11 10:27:23.621469+10:00,m7,2022-07-11 10:26:21+10:00,,n
933057,2022-07-11 10:28:21.684012+10:00,m6,2022-07-11 10:27:44+10:00,,n
933060,2022-07-11 10:28:21.699050+10:00,m7,2022-07-11 10:27:46+10:00,,n
933055,2022-07-11 10:28:21.676305+10:00,m1,2022-07-11 10:27:46+10:00,,n
932984,2022-07-11 10:28:05.656017+10:00,m2,2022-07-11 10:27:48+10:00,,n
933100,2022-07-11 10:28:31.691470+10:00,m2,2022-07-11 10:28:11+10:00,,n
934469,2022-07-11 10:33:36.011572+10:00,m2,2022-07-11 10:28:37+10:00,,n
934459,2022-07-11 10:33:34.016890+10:00,m1,2022-07-11 10:28:38+10:00,,n
934462,2022-07-11 10:33:34.031938+10:00,m6,2022-07-11 10:28:40+10:00,,n
