,collected_at,sensor_name,last_update,trigger,annotation
2474690,2022-07-21 08:00:11.205592+10:00,m8,2022-07-20 16:58:04+10:00,,n
2474697,2022-07-21 08:00:11.301013+10:00,m4,2022-07-20 16:58:05+10:00,,n
2474691,2022-07-21 08:00:11.213270+10:00,m1,2022-07-20 18:36:44+10:00,,n
2474694,2022-07-21 08:00:11.248359+10:00,m6,2022-07-20 18:36:46+10:00,,n
2474696,2022-07-21 08:00:11.256073+10:00,m7,2022-07-20 18:36:49+10:00,,n
2474692,2022-07-21 08:00:11.214653+10:00,m3,2022-07-20 19:15:17+10:00,,n
2474689,2022-07-21 08:00:10.739837+10:00,hue0,2022-07-20 19:28:49+10:00,False,n
2474693,2022-07-21 08:00:11.227935+10:00,m2,2022-07-20 20:02:56+10:00,,n
2474695,2022-07-21 08:00:11.255548+10:00,m5,2022-07-20 20:03:13+10:00,,n
2512380,2022-07-21 10:19:54.707988+10:00,m5,2022-07-21 10:19:22+10:00,,n
2512309,2022-07-21 10:19:40.589757+10:00,hue0,2022-07-21 10:19:31+10:00,True,n
2515144,2022-07-21 10:30:11.309710+10:00,hue0,2022-07-21 10:19:41+10:00,False,n
2515187,2022-07-21 10:30:19.417735+10:00,m5,2022-07-21 10:20:08+10:00,,n
2521802,2022-07-21 10:54:51.170440+10:00,m5,2022-07-21 10:34:59+10:00,,n
2524888,2022-07-21 11:06:17.972902+10:00,m3,2022-07-21 10:35:04+10:00,,n
2516503,2022-07-21 10:35:13.675628+10:00,hue0,2022-07-21 10:35:06+10:00,True,n
2518411,2022-07-21 10:42:18.161595+10:00,hue0,2022-07-21 10:35:16+10:00,False,n
2527783,2022-07-21 11:17:02.706573+10:00,m2,2022-07-21 10:41:42+10:00,,n
2519311,2022-07-21 10:45:38.384287+10:00,hue0,2022-07-21 10:45:30+10:00,True,n
2521912,2022-07-21 10:55:17.094004+10:00,hue0,2022-07-21 10:45:40+10:00,False,n
2523226,2022-07-21 11:00:09.449754+10:00,hue0,2022-07-21 11:00:00+10:00,True,n
2524036,2022-07-21 11:03:09.659302+10:00,hue0,2022-07-21 11:00:10+10:00,False,n
2527571,2022-07-21 11:16:14.694294+10:00,m5,2022-07-21 11:04:39+10:00,,n
2524513,2022-07-21 11:04:55.780672+10:00,hue0,2022-07-21 11:04:46+10:00,True,n
2525323,2022-07-21 11:07:55.996748+10:00,hue0,2022-07-21 11:04:56+10:00,False,n
2525755,2022-07-21 11:09:32.094952+10:00,hue0,2022-07-21 11:09:30+10:00,True,n
2525791,2022-07-21 11:09:40.103416+10:00,hue0,2022-07-21 11:09:40+10:00,False,n
2525845,2022-07-21 11:09:52.118199+10:00,hue0,2022-07-21 11:09:43+10:00,True,n
2526232,2022-07-21 11:11:18.221737+10:00,hue0,2022-07-21 11:09:53+10:00,False,n
2526565,2022-07-21 11:12:32.314712+10:00,hue0,2022-07-21 11:12:29+10:00,True,n
2527366,2022-07-21 11:15:30.525211+10:00,hue0,2022-07-21 11:12:39+10:00,False,n
2527834,2022-07-21 11:17:14.639247+10:00,hue0,2022-07-21 11:17:06+10:00,True,n
2528176,2022-07-21 11:18:30.735440+10:00,hue0,2022-07-21 11:17:22+10:00,False,n
2528482,2022-07-21 11:19:38.809231+10:00,hue0,2022-07-21 11:19:31+10:00,True,n
2528662,2022-07-21 11:20:18.857501+10:00,hue0,2022-07-21 11:19:41+10:00,False,n
2528842,2022-07-21 11:20:58.901446+10:00,hue0,2022-07-21 11:20:49+10:00,True,n
2528968,2022-07-21 11:21:26.938836+10:00,hue0,2022-07-21 11:20:59+10:00,False,n
2529253,2022-07-21 11:22:29.112308+10:00,m5,2022-07-21 11:21:40+10:00,,n
2529651,2022-07-21 11:23:57.247748+10:00,m3,2022-07-21 11:21:44+10:00,,n
2529112,2022-07-21 11:21:58.997852+10:00,hue0,2022-07-21 11:21:46+10:00,True,n
2529319,2022-07-21 11:22:45.032651+10:00,hue0,2022-07-21 11:22:06+10:00,False,n
2529364,2022-07-21 11:22:55.043079+10:00,hue0,2022-07-21 11:22:46+10:00,True,n
2529621,2022-07-21 11:23:51.200979+10:00,m5,2022-07-21 11:22:47+10:00,,n
2529373,2022-07-21 11:22:57.045782+10:00,hue0,2022-07-21 11:22:55+10:00,False,n
2529382,2022-07-21 11:22:59.048800+10:00,hue0,2022-07-21 11:22:58+10:00,True,n
2529481,2022-07-21 11:23:21.070290+10:00,hue0,2022-07-21 11:23:08+10:00,False,n
2529508,2022-07-21 11:23:27.078179+10:00,hue0,2022-07-21 11:23:26+10:00,True,n
2529841,2022-07-21 11:24:41.168266+10:00,hue0,2022-07-21 11:23:36+10:00,False,n
2529829,2022-07-21 11:24:37.265417+10:00,m5,2022-07-21 11:24:14+10:00,,n
2538916,2022-07-21 11:58:19.562395+10:00,m8,2022-07-21 11:24:42+10:00,,n
2529956,2022-07-21 11:25:05.295442+10:00,m4,2022-07-21 11:24:43+10:00,,n
2529938,2022-07-21 11:25:01.291092+10:00,m5,2022-07-21 11:24:49+10:00,,4r
2530020,2022-07-21 11:25:19.314103+10:00,m4,2022-07-21 11:25:03+10:00,,4r
2531610,2022-07-21 11:31:13.723024+10:00,m3,2022-07-21 11:25:05+10:00,,4r
2530003,2022-07-21 11:25:17.211765+10:00,hue0,2022-07-21 11:25:08+10:00,True,n
2530091,2022-07-21 11:25:35.332964+10:00,m5,2022-07-21 11:25:10+10:00,,n
2530030,2022-07-21 11:25:23.220759+10:00,hue0,2022-07-21 11:25:18+10:00,False,n
2530154,2022-07-21 11:25:49.346043+10:00,m4,2022-07-21 11:25:24+10:00,,4r
2530039,2022-07-21 11:25:25.222508+10:00,hue0,2022-07-21 11:25:24+10:00,True,n
